ModelID,PatientID,CellLineName,StrippedCellLineName,Age,SourceType,SangerModelID,RRID,DepmapModelType,AgeCategory,GrowthPattern,LegacyMolecularSubtype,PrimaryOrMetastasis,SampleCollectionSite,Sex,SourceDetail,LegacySubSubtype,CatalogNumber,CCLEName,COSMICID,PublicComments,WTSIMasterCellID,EngineeredModel,TreatmentStatus,OnboardedMedia,PlateCoating,OncotreeCode,OncotreeSubtype,OncotreePrimaryDisease,OncotreeLineage
ACH-000012,PT-NdspH5,HCC-827,HCC827,39.0,Commercial,SIDM01067,CVCL_2063,LUAD,Adult,Adherent,,Primary,lung,Female,ATCC,NSCLC_adenocarcinoma,CRL-2868,HCC827_LUNG,1240146.0,,354.0,,,MF-001-001,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000013,PT-gj46wT,ONCO-DG-1,ONCODG1,60.0,Commercial,SIDM00093,CVCL_1882,HGSOC,Adult,Adherent,,Metastatic,ascites,Female,DSMZ,high_grade_serous,ACC 507,ONCODG1_OVARY,,SNP fingerprinting confirms that this line is an OVCAR-3 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,,,,MF-001-001,None,HGSOC,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000014,PT-fp8PeY,Hs 294T,HS294T,56.0,Commercial,SIDM00800,CVCL_0331,MEL,Adult,Adherent,,Metastatic,lymph_node,Male,ATCC,,HTB-140,HS294T_SKIN,,,,,,MF-002-001,None,MEL,Melanoma,Melanoma,Skin
ACH-000015,PT-ffwajI,NCI-H1581,NCIH1581,44.0,Commercial,SIDM00748,CVCL_1479,LCLC,Adult,Adherent,,Primary,lung,Male,ATCC via Meyerson (Broad) who received from Gazdar,NSCLC_large_cell,CRL-5878,NCIH1581_LUNG,908471.0,,1237.0,,,MF-007-008,None,LCLC,Large Cell Lung Carcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000016,PT-JnARLB,SLR 21,SLR21,,Academic lab,,CVCL_V607,CCRCC,Unknown,Adherent,,Metastatic,kidney,Unknown,Bill Kaelin (DFCI),,,SLR21_KIDNEY,,,,,,MF-001-001,None,CCRCC,Renal Clear Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000017,PT-8CE6ah,SK-BR-3,SKBR3,43.0,Commercial,SIDM00897,CVCL_0033,BRCA,Adult,Mixed,HER2_amp,Metastatic,pleural_effusion,Female,ATCC,ERneg_HER2pos,HTB-30,SKBR3_BREAST,,,,,,MF-023-001,None,BRCA,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000018,PT-Mi0cKz,T24,T24,82.0,Commercial,SIDM01184,CVCL_0554,BLCA,Adult,Adherent,,Primary,urinary_tract,Female,ATCC,,HTB-4,T24_URINARY_TRACT,724812.0,,1455.0,,,MF-023-001,None,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
ACH-000019,PT-viJKnw,MCF7,MCF7,69.0,Commercial,SIDM00148,CVCL_0031,BRCA,Adult,Adherent,luminal,Metastatic,pleural_effusion,Female,ATCC,ERpos_HER2neg,HTB-22,MCF7_BREAST,905946.0,,588.0,,,MF-015-010,None,BRCA,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000020,PT-GMWtlF,MHH-CALL-2,MHHCALL2,15.0,Commercial,SIDM00331,CVCL_1409,BLL,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell,,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908132.0,,1906.0,,,MF-001-020,None,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000021,PT-9p1WQv,NCI-H1693,NCIH1693,55.0,Commercial,SIDM00742,CVCL_1488,LUAD,Adult,Adherent,,Metastatic,lymph_node,Female,ATCC,NSCLC_adenocarcinoma,CRL-5887,NCIH1693_LUNG,687802.0,,634.0,,,MF-001-001,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000022,PT-lVglGI,PA-TU-8988S,PATU8988S,64.0,Commercial,SIDM00452,CVCL_1846,PAAD,Adult,Adherent,,Metastatic,liver,Female,DSMZ,exocrine_adenocarcinoma,ACC 204,PATU8988S_PANCREAS,,,,,,MF-002-003,None,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000023,PT-lVglGI,PA-TU-8988T,PATU8988T,64.0,Commercial,SIDM00453,CVCL_1847,PAAD,Adult,Adherent,,Metastatic,liver,Female,DSMZ,exocrine_adenocarcinoma,ACC 162,PATU8988T_PANCREAS,1240201.0,,1242.0,,,MF-002-001,None,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000024,PT-codP7n,OPM-2,OPM2,56.0,Commercial,SIDM00457,CVCL_1625,PCM,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,,,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,909249.0,,112.0,,,MF-001-001,None,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000025,PT-nrgozM,CH-157MN,CH157MN,41.0,Academic lab,,CVCL_5723,MNG,Adult,Mixed,,Primary,central_nervous_system,Female,Dunn (BWH),,,CH157MN_CENTRAL_NERVOUS_SYSTEM,,,,,,MF-002-001,None,MNG,Meningioma,Meningothelial Tumor,CNS/Brain
ACH-000026,PT-AR7W9o,253J-BV,253JBV,53.0,Commercial,,CVCL_7937,BLCA,Adult,Mixed,,Metastatic,lymph_node,Male,KCLB,,80002,253JBV_URINARY_TRACT,,,,,,MF-002-001,None,BLCA,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Bladder/Urinary Tract
ACH-000027,PT-llPs5J,GOS-3,GOS3,64.0,Commercial,,CVCL_2050,GB,Adult,Adherent,,Primary,central_nervous_system,Male,DSMZ,glioblastoma,ACC 408,GOS3_CENTRAL_NERVOUS_SYSTEM,,SNP fingerprinting confirms that this line is an U-343 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,,,,MF-002-001,None,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000028,PT-viJKnw,KPL-1,KPL1,69.0,Commercial,SIDM00147,CVCL_2094,BRCA,Adult,Adherent,luminal,Metastatic,pleural_effusion,Female,DSMZ,ERpos_HER2neg,,KPL1_BREAST,,SNP fingerprinting confirms that this line is an MCF-7 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,,,,MF-002-001,None,BRCA,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000029,PT-NdspH5,HCC-827-GR5,HCC827GR5,39.0,Academic lab,,CVCL_V622,LUAD,Adult,Adherent,,Primary,lung,Female,Janne (DFCI),NSCLC_adenocarcinoma,,HCC827GR5_LUNG,,,,,,MF-001-014,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000030,PT-nDRyc6,PC-14,PC14,45.0,Commercial,SIDM00237,CVCL_1640,LUAD,Adult,Adherent,,Primary,lung,Male,RIKEN,NSCLC_adenocarcinoma,RCB4455,PC14_LUNG,753608.0,,198.0,,,MF-001-001,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000031,PT-o4NqQC,Panc 02.13,PANC0213,64.0,Commercial,,CVCL_1634,PAAD,Adult,Adherent,,Primary,pancreas,Female,ATCC,exocrine_adenocarcinoma,CRL-2554,PANC0213_PANCREAS,,,,,,MF-001-001,None,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000032,PT-p2KOyI,MHH-CALL-3,MHHCALL3,11.0,Commercial,,CVCL_0089,BLL,Pediatric,Mixed,,Primary,bone_marrow,Female,DSMZ,b_cell,ACC-339,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,Pre-treatment,MF-001-020,None,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000033,PT-9p1WQv,NCI-H1819,NCIH1819,55.0,Academic lab,,CVCL_1497,LUAD,Adult,Adherent,,Metastatic,lymph_node,Female,Meyerson (Broad) who received from Minna,NSCLC_adenocarcinoma,,NCIH1819_LUNG,,,,,,MF-001-014,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000034,PT-5qa3uk,PLB-985,PLB985,35.0,Academic lab,SIDM00811,CVCL_2162,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,Pellman (DFCI),M3,,PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,SNP fingerprinting confirms that this line is an HL-60 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,,,,MF-001-001,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000035,PT-5LVIPg,NCI-H1650,NCIH1650,27.0,Commercial,SIDM00745,CVCL_1483,NSCLC,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenocarcinoma,NCIH1650,NCIH1650_LUNG,687800.0,,1548.0,,,MF-001-001,None,NSCLC,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Lung
ACH-000036,PT-llPs5J,U343,U343,64.0,Academic lab,,CVCL_4773,GB,Adult,Adherent,,Primary,central_nervous_system,Male,Linda Chin,glioblastoma,,U343_CENTRAL_NERVOUS_SYSTEM,,,,,,MF-002-001,None,GB,Glioblastoma,Diffuse Glioma,CNS/Brain
ACH-000037,PT-JfLphU,S-117,S117,47.0,Commercial,SIDM00035,CVCL_1674,SARCNOS,Adult,Adherent,,,soft_tissue,Female,DSMZ,,266,S117_THYROID,,,,,,MF-001-001,None,SARCNOS,"Sarcoma, NOS","Sarcoma, NOS",Soft Tissue
ACH-000038,PT-LoXnDo,EHEB,EHEB,69.0,Commercial,SIDM01049,CVCL_1194,BLL,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell,,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906854.0,,39.0,,,MF-001-001,None,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000039,PT-wGDMGe,SK-N-MC,SKNMC,14.0,Commercial,SIDM00634,CVCL_0530,ES,Pediatric,Adherent,EWS_FLI,Metastatic,bone,Female,ATCC,,HTB-10,SKNMC_BONE,,,,,,MF-006-001,None,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000040,PT-5XnRfQ,U-118 MG,U118MG,47.0,Commercial,SIDM01193,CVCL_0633,ASTR,Adult,Adherent,,Primary,central_nervous_system,Male,ATCC,astrocytoma,HTB-15,U118MG_CENTRAL_NERVOUS_SYSTEM,687588.0,SNP fingerprinting confirms that this line is an U-138 MG derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,7.0,,,MF-002-001,None,ASTR,Astrocytoma,Diffuse Glioma,CNS/Brain
ACH-000041,PT-3yDaRJ,RD-ES,RDES,19.0,Commercial,,CVCL_2169,ES,Adult,Mixed,EWS_FLI,Primary,bone,Male,ATCC,,HTB-166,RDES_BONE,,,,,,MF-001-017,None,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000042,PT-QOpMVz,Panc 02.03,PANC0203,70.0,Commercial,SIDM01139,CVCL_1633,PAAD,Adult,Adherent,,Primary,pancreas,Female,ATCC,exocrine_adenocarcinoma,CRL-2553,PANC0203_PANCREAS,1298475.0,,1838.0,,,MF-001-042,None,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000043,PT-rTUVZQ,Hs 895.T,HS895T,48.0,Commercial,,CVCL_0993,ZFIBSKI,Adult,Adherent,,Metastatic,fibroblast,Female,ATCC,,CRL-7637,HS895T_FIBROBLAST,,,,,,MF-002-001,None,,"Fibroblast, Skin",Non-Cancerous,Fibroblast
ACH-000044,PT-HMBfbj,MDA-MB-134-VI,MDAMB134VI,47.0,Commercial,SIDM00005,CVCL_0617,ILC,Adult,Adherent,luminal,Metastatic,pleural_effusion,Female,ATCC,ERpos_HER2neg,,MDAMB134VI_BREAST,,,,,,MF-021-003,None,ILC,Breast Invasive Lobular Carcinoma,Invasive Breast Carcinoma,Breast
ACH-000045,PT-zb7Sx0,MV4-11,MV411,10.0,Commercial,SIDM00657,CVCL_0064,AML,Pediatric,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,,,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908156.0,,133.0,,,MF-005-001,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000046,PT-zV8Sol,ACHN,ACHN,22.0,Commercial,SIDM00123,CVCL_1067,PRCC,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,,CRL-1611,ACHN_KIDNEY,905950.0,,371.0,,,MF-006-001,None,PRCC,Papillary Renal Cell Carcinoma,Renal Cell Carcinoma,Kidney
ACH-000047,PT-UVwT4j,GCIY,GCIY,39.0,Commercial,SIDM00274,CVCL_1228,STAD,Adult,Adherent,,Metastatic,ascites,Female,RIKEN,,RCB0555,GCIY_STOMACH,906869.0,,1414.0,,,MF-006-012,None,STAD,Stomach Adenocarcinoma,Esophagogastric Adenocarcinoma,Esophagus/Stomach
ACH-000048,PT-EehOTC,TOV-112D,TOV112D,42.0,Commercial,SIDM01170,CVCL_3612,EOV,Adult,Adherent,,Primary,ovary,Female,ATCC,endometrioid,CRL-11731,TOV112D_OVARY,1299070.0,,5.0,,,MF-044-001,None,EOV,Endometrioid Ovarian Cancer,Ovarian Epithelial Tumor,Ovary/Fallopian Tube
ACH-000049,PT-qWYYgr,HEK TE,HEKTE,,Academic lab,,CVCL_WS59,ZIMMEKC,Unknown,Adherent,,,kidney,Unknown,Jesse Boehm (Broad),,,HEKTE_KIDNEY,,,,,,,None,,Immortalized Embyonic Kidney Cells,Non-Cancerous,Kidney
ACH-000050,PT-HOg2sh,NCI-H929,NCIH929,62.0,Commercial,SIDM01148,CVCL_1600,PCM,Adult,Suspension,,Metastatic,pleural_effusion,Female,ATCC,plasmacytoma,CRL-9068,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,724825.0,SNP fingerprinting rules out K-562 contamination.,1230.0,,,MF-001-006,None,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000051,PT-xfVhgW,TE 617.T,TE617T,1.0,Commercial,,CVCL_1755,RMS,Pediatric,Unknown,,Primary,soft_tissue,Female,ATCC,,Discontinued,TE617T_SOFT_TISSUE,,,,,,MF-002-001,None,RMS,Rhabdomyosarcoma,Rhabdomyosarcoma,Soft Tissue
ACH-000052,PT-IAac7b,A-673,A673,15.0,Commercial,SIDM00848,CVCL_0080,ES,Pediatric,Adherent,EWS_FLI,Primary,soft_tissue,Female,ATCC,,CRL-1598,A673_BONE,684052.0,,660.0,,,MF-002-001,None,ES,Ewing Sarcoma,Ewing Sarcoma,Bone
ACH-000053,PT-nECHHn,KARPAS-299,KARPAS299,25.0,Academic lab,SIDM01010,CVCL_1324,ALCLALKP,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,Received from NIBRI,t_cell_ALCL,,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907273.0,,906.0,,,MF-001-021,None,ALCLALKP,Anaplastic Large-Cell Lymphoma ALK Positive,Non-Hodgkin Lymphoma,Lymphoid
ACH-000054,PT-cVfhmE,HT-1080,HT1080,35.0,Commercial,SIDM00828,CVCL_0317,FIBS,Adult,Adherent,,Metastatic,soft_tissue,Male,ATCC,,CCL-121,HT1080_SOFT_TISSUE,907064.0,,1391.0,,,MF-006-001,None,FIBS,Fibrosarcoma,Fibrosarcoma,Soft Tissue
ACH-000055,PT-xKYZGz,D283 Med,D283MED,6.0,Commercial,SIDM00888,CVCL_1155,MBL,Pediatric,Mixed,MYC_exp,Metastatic,abdomen,Male,ATCC,med_group_3,HTB-185,D283MED_CENTRAL_NERVOUS_SYSTEM,906834.0,,1184.0,,,MF-006-001,None,MBL,Medulloblastoma,Embryonal Tumor,CNS/Brain
ACH-000056,PT-QeK3sM,DOHH-2,DOHH2,60.0,Commercial,SIDM00981,CVCL_1179,DLBCLNOS,Adult,Suspension,,Metastatic,pleural_effusion,Male,DSMZ,DLBCL,ACC 47,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906842.0,,1339.0,,,MF-001-001,None,DLBCLNOS,"Diffuse Large B-Cell Lymphoma, NOS",Non-Hodgkin Lymphoma,Lymphoid
ACH-000057,PT-codP7n,OPM-1,OPM1,56.0,Academic lab,SIDM00456,CVCL_5210,PCM,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,,,,OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,,None,PCM,Plasma Cell Myeloma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000058,PT-HRqr49,ML-1,ML1,50.0,Commercial,SIDM00442,CVCL_H525,THFO,Adult,Adherent,,Primary,thyroid,Female,DSMZ,follicular,,ML1_THYROID,1240178.0,,1227.0,,,MF-002-009,None,THFO,Follicular Thyroid Cancer,Well-Differentiated Thyroid Cancer,Thyroid
ACH-000059,PT-rikOUx,SUP-B15,SUPB15,9.0,Commercial,SIDM01176,CVCL_0103,BLLBCRABL1,Pediatric,Suspension,,Primary,bone_marrow,Male,ATCC,b_cell,CRL-1929,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1247871.0,,786.0,,,MF-005-008,None,BLLBCRABL1,B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000060,PT-9JMXWA,Panc 10.05,PANC1005,81.0,Commercial,SIDM01135,CVCL_1639,PAAD,Adult,Adherent,,Primary,pancreas,Male,ATCC,exocrine_adenocarcinoma,CRL-2547,PANC1005_PANCREAS,925348.0,,197.0,,,MF-001-019,None,PAAD,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Pancreas
ACH-000061,PT-hDGIfb,HH,HH,61.0,Commercial,SIDM00671,CVCL_1280,MTNN,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Male,ATCC,t_cell_cutaneous,CRL-2105,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907056.0,,310.0,,,MF-001-001,None,MTNN,Mature T and NK Neoplasms,Non-Hodgkin Lymphoma,Lymphoid
ACH-000062,PT-Rt0hf4,RERF-LC-MS,RERFLCMS,,Commercial,SIDM00355,CVCL_1655,LUAD,Unknown,Adherent,,Primary,lung,Male,JCRB,NSCLC_adenocarcinoma,JCRB0081,RERFLCMS_LUNG,910931.0,,2051.0,,,MF-015-004,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000063,PT-kuvMUl,Hs 616.T,HS616T,16.0,Commercial,SIDM01566,CVCL_0825,ZFIBLYM,Pediatric,Adherent,,,fibroblast,Male,ATCC,,CRL-7378,HS616T_FIBROBLAST,,Originally annotated as 'Lymphocyte' but after analysis we believe this line is a fibroblast.,,,,MF-002-001,None,,Fibroblast,Non-Cancerous,Fibroblast
ACH-000064,PT-Vm8sIp,SALE,SALE,,Academic lab,,CVCL_WS60,ZIMMLUNG,Unknown,Unknown,,,lung,Male,Jesse Boehm (Broad),,,SALE_LUNG,,,,,,,None,,Immortalized Lung Cells,Non-Cancerous,Lung
ACH-000065,PT-EsXLcC,OCI-AML5,OCIAML5,77.0,Commercial,SIDM00461,CVCL_1620,AML,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Male,DSMZ,,ACC 247,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1330983.0,,2130.0,,,MF-003-002,None,AML,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000066,PT-QxlnnP,HCC4006,HCC4006,,Commercial,,CVCL_1269,LUAD,Adult,Adherent,,Metastatic,pleural_effusion,Male,ATCC,NSCLC_adenocarcinoma,CRL-2871,HCC4006_LUNG,,,,,,MF-001-001,None,LUAD,Lung Adenocarcinoma,Non-Small Cell Lung Cancer,Lung
ACH-000067,PT-25yL7C,Hs 683,HS683,76.0,Commercial,SIDM00666,CVCL_0844,ODG,Adult,Adherent,,Primary,central_nervous_system,Male,ATCC,oligodendroglioma,HTB-138,HS683_CENTRAL_NERVOUS_SYSTEM,1240150.0,,769.0,,,MF-002-001,None,ODG,Oligodendroglioma,Diffuse Glioma,CNS/Brain
ACH-000068,PT-WEet0z,REC-1,REC1,61.0,Commercial,SIDM01773,CVCL_1884,MCL,Adult,Suspension,,,lymph_node,Male,DSMZ,b_cell_mantle_cell,,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-001-001,None,MCL,Mantle Cell Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000069,PT-RgXHAi,Hs 611.T,HS611T,48.0,Commercial,,CVCL_0823,HL,Adult,Suspension,,,haematopoietic_and_lymphoid_tissue,Female,ATCC,,CRL-7373,HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,,,,MF-002-001,None,HL,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid
ACH-000070,PT-0yrZJC,697,697,12.0,Commercial,SIDM01076,CVCL_0079,BLL,Pediatric,Suspension,,Primary,bone_marrow,Male,DSMZ,b_cell,ACC 42,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,906800.0,,63.0,,,MF-001-001,None,BLL,B-Lymphoblastic Leukemia/Lymphoma,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid
ACH-000071,PT-HqO4KC,Hs 706.T,HS706T,16.0,Commercial,SIDM01704,CVCL_0863,ZFIBBON,Pediatric,Adherent,,,fibroblast,Female,ATCC,,CRL-7447,HS706T_BONE,,,,,,MF-002-001,None,,"Fibroblast, Bone",Non-Cancerous,Fibroblast
ACH-000072,PT-yx4h8S,MEG-01,MEG01,55.0,Commercial,SIDM00526,CVCL_0425,CMLBCRABL1,Adult,Adherent,,,bone_marrow,Male,ATCC,,CRL-2021,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,908126.0,,1263.0,,,MF-001-001,None,CMLBCRABL1,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloproliferative Neoplasms,Myeloid
ACH-000073,PT-wktVrL,GRANTA-519,GRANTA519,58.0,Commercial,SIDM01058,CVCL_1818,MCL,Adult,Suspension,,Primary,haematopoietic_and_lymphoid_tissue,Female,DSMZ,b_cell_mantle_cell,ACC 342,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,1303897.0,,1776.0,,,MF-002-003,None,MCL,Mantle Cell Lymphoma,Non-Hodgkin Lymphoma,Lymphoid
ACH-000074,PT-FJahu6,KU812,KU812,38.0,Commercial,SIDM00308,CVCL_0379,CML,Adult,Adherent,,Primary,haematopoietic_and_lymphoid_tissue,Male,ATCC,blast_crisis,CRL-2099,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,907311.0,,598.0,,,MF-001-001,None,CML,Chronic Myelogenous Leukemia,Myeloproliferative Neoplasms,Myeloid
