ENSP00000493376	A0A2U3U0J3
ENSP00000481821	A0A087WYI0
ENSP00000424342	D6RB84
ENSP00000413493	Q5TA45
ENSP00000400548	C9IYS7
ENSP00000464436	J3QRY6
ENSP00000404886	Q5TA45
ENSP00000392848	Q5TA45
ENSP00000448743	F8VY51
ENSP00000427244	D6REN4
ENSP00000322604	Q96QU1
ENSP00000354950	A2A3E7
ENSP00000378818	A2A3E6
ENSP00000378821	A2A3E8
ENSP00000363068	A2A3D8
ENSP00000412628	E7EM53
ENSP00000008527	Q16526
ENSP00000447738	H0YHT0
ENSP00000478076	A0A087WTR6
ENSP00000386693	B7ZBT8
ENSP00000457375	P23975
ENSP00000353720	P23141
ENSP00000390492	P23141
ENSP00000355193	P23141
ENSP00000434790	E9PNH9
ENSP00000328207	Q9Y5U5
ENSP00000447520	F8W124
ENSP00000479631	I7HHH9
ENSP00000448536	Q8TAD7
ENSP00000447440	F8W1S6
ENSP00000449096	F8VXK5
ENSP00000450095	F8VQD4
ENSP00000491223	P09471
ENSP00000262494	P09471
ENSP00000492694	A0A1W2PRJ7
ENSP00000262493	P09471
ENSP00000457238	H3BTM2
ENSP00000280758	A6QL63
ENSP00000413889	A6QL63
ENSP00000447319	A6QL63
ENSP00000368318	Q8N0Z8
ENSP00000462735	J3KT02
ENSP00000383717	P51172
ENSP00000368567	Q9Y5U5
ENSP00000420548	C9JDY8
ENSP00000368570	Q9Y5U5
ENSP00000368411	P51172
ENSP00000321594	P51172
ENSP00000339504	P51172
ENSP00000436743	E9PI75
ENSP00000432009	E9PIG1
ENSP00000462968	J3KTG4
ENSP00000387365	Q13610
ENSP00000445249	B4DJV5
ENSP00000401293	Q99788
ENSP00000311733	Q99788
ENSP00000447579	Q99788
ENSP00000449716	Q99788
ENSP00000448925	F8VYN7
ENSP00000448362	F8VSC8
ENSP00000424122	H0Y9G8
ENSP00000424896	Q96LI5
ENSP00000423750	H0Y9C1
ENSP00000425571	H0Y9Z5
ENSP00000497467	H0Y9Z5
ENSP00000326330	Q86XX4
ENSP00000422834	Q86XX4
ENSP00000237654	Q14094
ENSP00000426467	D6RG12
ENSP00000426235	D6RH01
ENSP00000421594	D6REZ3
ENSP00000315017	Q9BYD6
ENSP00000421768	Q9NSY1
ENSP00000428864	Q6NT32
ENSP00000324271	Q6NT32
ENSP00000428571	Q6NT32
ENSP00000290567	Q6NT32
ENSP00000428887	E5RFG9
ENSP00000487767	A0A0J9YW16
ENSP00000228437	Q9UKN5
ENSP00000456289	H3BRL0
ENSP00000245157	Q9BXC9
ENSP00000491875	P09471
ENSP00000491875	A0A1W2PQ24
ENSP00000454971	H3BNR5
ENSP00000447606	H0YHR1
ENSP00000228284	A0A499FI31
ENSP00000414453	Q15020
ENSP00000449386	Q15020
ENSP00000449295	H0YIF6
ENSP00000448554	Q15020
ENSP00000315743	Q16589
ENSP00000424665	Q16589
ENSP00000379002	Q16589
ENSP00000426085	D6RHI3
ENSP00000426476	Q16589
ENSP00000481275	A0A087WXT8
ENSP00000368538	P43489
ENSP00000435772	E9PIL7
ENSP00000407416	C9JV03
ENSP00000446479	Q9BVA6
ENSP00000447379	F8VZ74
ENSP00000354421	J3KP49
ENSP00000445598	B4DNC9
ENSP00000411108	B3KQ30
ENSP00000446606	B4DNC9
ENSP00000310623	Q9H1K1
ENSP00000443272	F5H5N2
ENSP00000290649	Q9UKV5
ENSP00000473636	R4GNG2
ENSP00000353094	A0A5F9UP49
ENSP00000263741	A0A5F9UJX7
ENSP00000456741	A0A804F8L3
ENSP00000456288	H3BRK9
ENSP00000376554	Q9H1K1
ENSP00000349690	A6QL63
ENSP00000448684	F8VRG2
ENSP00000436824	E9PQF0
ENSP00000219162	P47944
ENSP00000455353	H3BPK2
ENSP00000455980	H3BQX6
ENSP00000345420	Q6XD76
ENSP00000200691	P25713
ENSP00000457164	H3BTG5
ENSP00000376553	Q4V9L6
ENSP00000448047	Q2TBF2
ENSP00000448583	F8VS22
ENSP00000446744	F8W030
ENSP00000447875	H0YHU8
ENSP00000331933	Q2TBF2
ENSP00000447272	Q2TBF2
ENSP00000456745	H3BSK3
ENSP00000455842	H3BQM3
ENSP00000456804	H3BSP9
ENSP00000245185	P02795
ENSP00000307706	P04732
ENSP00000457516	H3BU80
ENSP00000328137	P04732
ENSP00000455959	H3BQV8
ENSP00000439810	F5H0J7
ENSP00000368496	Q96L58
ENSP00000369146	Q8N339
ENSP00000457575	H3BUC6
ENSP00000286758	O43927
ENSP00000264908	P12429
ENSP00000426591	D6RFJ9
ENSP00000424584	D6RAZ8
ENSP00000421512	D6RFG5
ENSP00000422281	D6RCA8
ENSP00000300291	O43809
ENSP00000456056	H3BR34
ENSP00000454790	H3BND3
ENSP00000334998	P07438
ENSP00000334872	P04733
ENSP00000456462	H3BRY8
ENSP00000423068	D6RA82
ENSP00000421015	D6RA82
ENSP00000421981	Q6TCH7
ENSP00000329137	Q5T7M4
ENSP00000447120	F8W0W9
ENSP00000447345	F8VZL0
ENSP00000447752	Q14242
ENSP00000373614	A0A0C4DFY0
ENSP00000228463	Q14242
ENSP00000290705	P04731
ENSP00000286794	Q9BSU3
ENSP00000351706	Q14410
ENSP00000457114	H3BTC4
ENSP00000456111	H3BR79
ENSP00000477740	A0A087WTB6
ENSP00000457746	A0A0A0MTR2
ENSP00000457258	Q8N543
ENSP00000492271	A0A1W2PRE1
ENSP00000330587	P80294
ENSP00000458101	H3BVG0
ENSP00000457902	H3BV11
ENSP00000454285	H3BM93
ENSP00000310668	Q8N1F7
ENSP00000457553	H3BUA6
ENSP00000456264	H3BRI8
ENSP00000457942	H3BV41
ENSP00000391397	P13640
ENSP00000369139	P13640
ENSP00000456675	H3BSF1
ENSP00000454587	H3BMX0
ENSP00000458039	Q8N1F7
ENSP00000455210	H3BP95
ENSP00000454844	H3BNG7
ENSP00000455181	H3BP72
ENSP00000440235	Q8N1F7
ENSP00000377995	P80297
ENSP00000475791	U3KQD7
ENSP00000455230	H3BPA9
ENSP00000314883	P58335
ENSP00000306185	P58335
ENSP00000385575	P58335
ENSP00000384028	J3KPY9
ENSP00000262502	J3QSS1
ENSP00000457552	P55017
ENSP00000402152	P55017
ENSP00000456149	P55017
ENSP00000462636	J3KST3
ENSP00000343890	Q5TA50
ENSP00000344411	Q7RTX0
ENSP00000448322	A6QL63
ENSP00000447324	F8VZM2
ENSP00000363066	Q96QU1
ENSP00000261401	Q9ULV4
ENSP00000394496	Q9ULV4
ENSP00000438341	Q9ULV4
ENSP00000447337	H0YHL7
ENSP00000415554	B4E3S0
ENSP00000447534	Q9ULV4
ENSP00000449602	F8VVK9
ENSP00000409555	Q15011
ENSP00000441727	Q86WI3
ENSP00000340931	Q15011
ENSP00000262510	Q86WI3
ENSP00000300302	Q15011
ENSP00000441597	H0YG32
ENSP00000369118	Q15011
ENSP00000440153	H0YFT1
ENSP00000457321	H3BTT7
ENSP00000455094	H3BP08
ENSP00000447770	F8VZ56
ENSP00000368169	O14640
ENSP00000368166	O14640
ENSP00000368130	Q9NWT8
ENSP00000342676	Q9NWT8
ENSP00000340656	Q9NWT8
ENSP00000319778	Q9NWT8
ENSP00000439464	F5H274
ENSP00000200676	P11597
ENSP00000369106	P11597
ENSP00000458078	H3BVE2
ENSP00000457907	H3BV15
ENSP00000456276	H3BRJ9
ENSP00000423985	Q9NQV8
ENSP00000425149	E9PEH0
ENSP00000339764	Q9NQV8
ENSP00000406998	Q9NQV8
ENSP00000282701	P12645
ENSP00000486129	Q13237
ENSP00000439967	B7ZA25
ENSP00000264399	Q13237
ENSP00000378945	Q13237
ENSP00000311697	P12034
ENSP00000398353	P12034
ENSP00000441311	F5GYP0
ENSP00000350818	Q6V702
ENSP00000425786	Q6V702
ENSP00000425393	Q0VAM2
ENSP00000264400	Q0VAM2
ENSP00000490436	A0A1B0GVA7
ENSP00000338437	Q0VAM2
ENSP00000426929	D6RE71
ENSP00000398763	Q8N437
ENSP00000311766	A0A5K1VW56
ENSP00000488888	A0A0J9YYK1
ENSP00000488181	A0A0J9YWZ5
ENSP00000383611	Q96S94
ENSP00000386158	Q96S94
ENSP00000464685	J3QSH2
ENSP00000290776	Q96FN4
ENSP00000439018	Q96FN4
ENSP00000456042	Q96FN4
ENSP00000455443	H3BPR8
ENSP00000368062	Q5T2N8
ENSP00000455883	H3BQQ3
ENSP00000456673	H3BSF0
ENSP00000454649	H3BN22
ENSP00000455299	H3BPF9
ENSP00000455325	H3BPH9
ENSP00000335808	Q9GZU8
ENSP00000457740	Q9GZU8
ENSP00000457850	Q9GZU8
ENSP00000456211	Q9GZU8
ENSP00000454596	H3BMX9
ENSP00000457695	H3BUL4
ENSP00000455170	H3BP64
ENSP00000456931	H3BSY6
ENSP00000457269	H3BTP8
ENSP00000457185	H3BTI2
ENSP00000455890	H3BQQ6
ENSP00000457705	H3BSC7
ENSP00000456646	H3BSC7
ENSP00000377942	Q96DX4
ENSP00000455891	H3BQQ7
ENSP00000443176	Q96DX4
ENSP00000455367	H3BPL2
ENSP00000313327	Q14103
ENSP00000305860	Q14103
ENSP00000420926	H0Y8G5
ENSP00000421952	Q14103
ENSP00000421952	D6RAF8
ENSP00000426666	D6RF44
ENSP00000422615	Q14103
ENSP00000422615	D6RBQ9
ENSP00000425439	D6RD83
ENSP00000313199	Q14103
ENSP00000368031	Q9NVI7
ENSP00000368030	Q9NVI7
ENSP00000428660	Q96AX9
ENSP00000428660	A0A8C8USR6
ENSP00000348081	Q96AX9
ENSP00000348081	E9PD12
ENSP00000428264	Q96AX9
ENSP00000428264	A0A8C8N694
ENSP00000426103	Q96AX9
ENSP00000426103	E9PD12
ENSP00000367984	Q96AX9
ENSP00000426865	D6RE96
ENSP00000426128	Q96AX9
ENSP00000426128	E9PD12
ENSP00000426603	D6RFJ2
ENSP00000367980	Q96AX9
ENSP00000367980	F2Z2L2
ENSP00000295470	O14979
ENSP00000483254	O14979
ENSP00000478723	A0A087WUK2
ENSP00000480156	O14979
ENSP00000473677	O14979
ENSP00000485954	O14979
ENSP00000439290	Q9NVI7
ENSP00000341082	Q9BYC9
ENSP00000455768	H3BQG6
ENSP00000459994	I3L2X1
ENSP00000460924	Q9BYC9
ENSP00000490814	A0A1B0GW78
ENSP00000457532	H3BU93
ENSP00000458000	H3BV90
ENSP00000219204	Q9Y2Y0
ENSP00000377914	Q6FI81
ENSP00000457465	H3BU49
ENSP00000456114	Q6FI81
ENSP00000455309	H3BPG7
ENSP00000457042	H3BT65
ENSP00000454480	H3BT65
ENSP00000455572	H3BQ23
ENSP00000481720	A0A087WYE0
ENSP00000219207	Q9Y342
ENSP00000454656	H3BN27
ENSP00000463575	J3QLJ3
ENSP00000273920	Q9UHY7
ENSP00000422005	D6RA00
ENSP00000427209	Q9UHY7
ENSP00000420919	B9EJG8
ENSP00000403438	B9EJG8
ENSP00000421812	D6RAQ9
ENSP00000457400	H3BTZ8
ENSP00000414988	D6RDW6
ENSP00000457318	H3BTT4
ENSP00000445688	E5RJM6
ENSP00000482314	E5RJM6
ENSP00000428419	E5RJM6
ENSP00000428201	E5RJM6
ENSP00000219235	O00626
ENSP00000458023	H3BVA5
ENSP00000464114	J3QRA1
ENSP00000454992	H3BNT2
ENSP00000457996	H3BV86
ENSP00000456728	H3BSJ5
ENSP00000006053	P78423
ENSP00000456174	H3BRC0
ENSP00000456830	H3BSR6
ENSP00000455495	H3BPW3
ENSP00000262507	O75208
ENSP00000436135	Q9BRK3
ENSP00000344998	Q9BRK3
ENSP00000383631	Q5SV16
ENSP00000307887	Q9BRK3
ENSP00000399229	Q9BRK3
ENSP00000429035	E5RJM6
ENSP00000264405	H7BXG7
ENSP00000424451	O94979
ENSP00000337602	O94979
ENSP00000426886	O94979
ENSP00000378721	O94979
ENSP00000408027	O94979
ENSP00000426569	O94979
ENSP00000309070	O94979
ENSP00000400926	O94979
ENSP00000421633	D6REX3
ENSP00000421464	O94979
ENSP00000424635	O94979
ENSP00000347329	O94979
ENSP00000455516	H3BPY0
ENSP00000316329	Q86SK9
ENSP00000273908	Q86SK9
ENSP00000219244	Q92583
ENSP00000480147	Q92583
ENSP00000455099	A6NKF7
ENSP00000219252	P19387
ENSP00000368007	Q5SV17
ENSP00000423404	Q6PCB0
ENSP00000417185	Q6PCB0
ENSP00000464343	J3QRR0
ENSP00000463643	J3QLP3
ENSP00000485135	A0A096LNN7
ENSP00000291386	Q9NP77
ENSP00000449658	F8VV53
ENSP00000351955	Q9NP77
ENSP00000449330	F8VVB7
ENSP00000448195	F8VSA4
ENSP00000447049	F8W1H8
ENSP00000447989	F8VTT6
ENSP00000448527	F8VRE9
ENSP00000446652	F8W1D9
ENSP00000315713	Q8WYL5
ENSP00000448824	Q8WYL5
ENSP00000326107	Q8WYL5
ENSP00000464661	J3QSF3
ENSP00000455566	H3BQ19
ENSP00000344277	Q8TEW6
ENSP00000455128	Q8TEW6
ENSP00000446853	A0A0B4J250
ENSP00000228476	P14920
ENSP00000447104	F8W152
ENSP00000457971	H3BV67
ENSP00000464106	J3QR95
ENSP00000456590	H3BS85
ENSP00000458037	H3BVB4
ENSP00000457621	A0A1B0GX86
ENSP00000457192	H3BTI7
ENSP00000457730	H3BTI7
ENSP00000457670	H3BTI7
ENSP00000389111	F2Z333
ENSP00000464036	P21127
ENSP00000464016	P21127
ENSP00000485937	A0A0D9SER5
ENSP00000485705	A0A0D9SEI3
ENSP00000485849	A0A0D9SEN2
ENSP00000463048	P21127
ENSP00000478733	A0A087WUK8
ENSP00000481694	P0CK96
ENSP00000484635	P0CK96
ENSP00000348529	Q5QPR4
ENSP00000367905	Q5QPR4
ENSP00000384442	Q9UQ88
ENSP00000350403	Q5QPR3
ENSP00000351629	Q9UQ88
ENSP00000367900	Q9UQ88
ENSP00000457212	H3BTK2
ENSP00000456739	H3BSK0
ENSP00000425999	D6RHZ5
ENSP00000341679	O95544
ENSP00000344340	O95544
ENSP00000367890	O95544
ENSP00000339727	A0A0A0MR98
ENSP00000423900	E9PFJ2
ENSP00000426857	H0YAE5
ENSP00000348308	O75900
ENSP00000367945	O75086
ENSP00000426293	H0YA69
ENSP00000422267	H0Y8V7
ENSP00000449967	F8VV35
ENSP00000424976	D6REP6
ENSP00000383874	Q5QPQ9
ENSP00000481878	P62873
ENSP00000483532	B3KVK2
ENSP00000367872	P62873
ENSP00000399741	F6X3N5
ENSP00000392765	F6UT28
ENSP00000367865	Q8NDY8
ENSP00000491844	A0A1W2PQR3
ENSP00000311122	Q8NDY8
ENSP00000492435	A0A1W2PRC4
ENSP00000492500	A0A1W2PRY7
ENSP00000491871	A0A1W2PQT2
ENSP00000491632	A0A1W2PPP1
ENSP00000367848	O14764
ENSP00000409669	B1AKR3
ENSP00000416651	B1AKQ8
ENSP00000367861	B1AKR2
ENSP00000491411	A0A1W2PPH3
ENSP00000417061	Q9C0B2
ENSP00000304643	Q8TD86
ENSP00000367867	B1AKR1
ENSP00000367808	Q6NZ36
ENSP00000383709	Q6NZ36
ENSP00000383710	F6S8H2
ENSP00000367804	Q6NZ36
ENSP00000454738	H3BN90
ENSP00000457188	H3BTI4
ENSP00000367797	P12755
ENSP00000455528	H3BPY9
ENSP00000258214	Q96A19
ENSP00000479104	Q8N4V2
ENSP00000447275	H0YHK4
ENSP00000337398	P13051
ENSP00000242576	P13051
ENSP00000367085	F8W8T8
ENSP00000367079	O00763
ENSP00000341044	O00763
ENSP00000257548	Q70CQ3
ENSP00000438829	F5H3L3
ENSP00000440837	F5GXG2
ENSP00000376535	B3KUS5
ENSP00000443678	F5H8D3
ENSP00000481211	A0A087WXQ6
ENSP00000394465	A2A3D9
ENSP00000290823	Q8IZF4
ENSP00000482481	A0A087WZA0
ENSP00000342981	Q8IZF4
ENSP00000443494	F5H5C3
ENSP00000420588	Q00059
ENSP00000363002	Q00059
ENSP00000362993	Q9H694
ENSP00000362987	Q96FC7
ENSP00000362985	Q96FC7
ENSP00000399820	Q6NS38
ENSP00000443042	F5H5X2
ENSP00000444103	F5GZZ0
ENSP00000478765	Q6NS38
ENSP00000343021	Q6NS38
ENSP00000398181	Q6NS38
ENSP00000263103	A6NGY7
ENSP00000481854	Q8NE31
ENSP00000480677	Q8NE31
ENSP00000483510	A0A087X0M7
ENSP00000484625	A0A087X216
ENSP00000481830	Q8NE31
ENSP00000423896	Q8NE31
ENSP00000392302	B7Z2K3
ENSP00000400241	Q8NE31
ENSP00000488748	P0DMT0
ENSP00000445068	H0YGW3
ENSP00000488584	P0DMT0
ENSP00000488429	P0DMT0
ENSP00000488299	P0DMT0
ENSP00000378757	Q7RTY1
ENSP00000378756	Q7RTY1
ENSP00000263102	Q16204
ENSP00000354921	O95229
ENSP00000363055	O95229
ENSP00000378801	O95229
ENSP00000363046	Q8NFU5
ENSP00000322850	A6NH27
ENSP00000280772	Q12955
ENSP00000362933	Q12955
ENSP00000362926	H0Y3A4
ENSP00000423057	H0Y951
ENSP00000347436	Q12955
ENSP00000425236	Q12955
ENSP00000363041	Q9NZ45
ENSP00000363019	P51668
ENSP00000479814	A0A087WW00
ENSP00000425820	D6RIX4
ENSP00000456781	H3BSN3
ENSP00000454321	H3BMC2
ENSP00000456166	H3BRB4
ENSP00000455812	H3BQJ9
ENSP00000456469	H3BRZ4
ENSP00000457456	Q9Y653
ENSP00000455215	Q9Y653
ENSP00000456796	H3BSP5
ENSP00000456238	H3BRH0
ENSP00000456794	Q9Y653
ENSP00000457979	H3BV72
ENSP00000454263	H3BM73
ENSP00000454607	H3BMY9
ENSP00000458063	H3BVD3
ENSP00000457307	A0A1B0GX62
ENSP00000454364	H3BMF8
ENSP00000455600	H3BQ46
ENSP00000456494	H3BS14
ENSP00000456002	H3BQZ1
ENSP00000455351	Q9Y653
ENSP00000457073	H3BT88
ENSP00000457122	H3BTD2
ENSP00000456787	H3BSN7
ENSP00000398034	Q9Y653
ENSP00000456632	H3BSB8
ENSP00000373465	Q9Y653
ENSP00000456620	Q9Y653
ENSP00000454855	H3BNH4
ENSP00000455209	H3BP94
ENSP00000458014	H3BVA0
ENSP00000456603	H3BS98
ENSP00000455074	H3BSB8
ENSP00000455226	H3BPA6
ENSP00000455553	H3BQ11
ENSP00000457143	H3BVE9
ENSP00000456819	H3BSR1
ENSP00000455176	H3BP67
ENSP00000455965	H3BQW4
ENSP00000454933	Q9Y653
ENSP00000454933	H3BNN3
ENSP00000454779	H3BPC0
ENSP00000457063	H3BRI2
ENSP00000457994	H3BV84
ENSP00000456256	H3BRI2
ENSP00000444911	Q9Y653
ENSP00000456682	H3BSF7
ENSP00000457223	H3BTK9
ENSP00000458087	H3BVE9
ENSP00000456147	H3BRA1
ENSP00000454233	H3BNN3
ENSP00000456362	H3BQ46
ENSP00000456263	H3BRI7
ENSP00000454289	H3BS94
ENSP00000456544	H3BS54
ENSP00000457953	H3BV52
ENSP00000457806	H3BUU6
ENSP00000456599	H3BS94
ENSP00000457635	H3BUH2
ENSP00000457178	H3BTH7
ENSP00000474680	S4R3S7
ENSP00000425056	H0Y9T9
ENSP00000425555	D6RCQ9
ENSP00000426950	D6RE64
ENSP00000389803	O75038
ENSP00000367747	O75038
ENSP00000476436	V9GY64
ENSP00000397289	O75038
ENSP00000367830	Q05513
ENSP00000424945	F2Z3C5
ENSP00000421587	D6REZ8
ENSP00000367792	Q5T089
ENSP00000367853	Q5T2D8
ENSP00000367790	Q5T089
ENSP00000426412	Q05513
ENSP00000383712	Q05513
ENSP00000427085	D6RD31
ENSP00000462105	J3KRP7
ENSP00000424228	D6RBD4
ENSP00000421869	D6RAN5
ENSP00000425317	D6RDM0
ENSP00000421219	D6RGG1
ENSP00000421350	D6RG01
ENSP00000422349	D6RC84
ENSP00000427134	D6RCN4
ENSP00000424763	D6RAU1
ENSP00000422764	F2Z2H9
ENSP00000426582	D6RFK6
ENSP00000362921	B1AQT1
ENSP00000422506	D6RBY7
ENSP00000422563	D6RBT0
ENSP00000483483	A0A087X0L3
ENSP00000426690	D6RF31
ENSP00000422657	H0Y8Z4
ENSP00000439182	A0A140TA25
ENSP00000347354	Q96NZ1
