From	To
P07858	ENSP00000518434.1
P07858	ENSP00000518435.1
P07858	ENSP00000518436.1
P07858	ENSP00000518437.1
P07858	ENSP00000518438.1
P07858	ENSP00000518440.1
P07858	ENSP00000518441.1
P07858	ENSP00000518442.1
P07858	ENSP00000518443.1
P07858	ENSP00000518444.1
P07858	ENSP00000518445.1
P07858	ENSP00000518448.1
P07858	ENSP00000518449.1
P07858	ENSP00000518450.1
P07858	ENSP00000518452.1
P07858	ENSP00000518455.1
P07858	ENSP00000518456.1
P07858	ENSP00000518457.1
P07858	ENSP00000518460.1
P07858	ENSP00000518464.1
P07858	ENSP00000518466.1
P07858	ENSP00000518468.1
P07858	ENSP00000518469.1
P01040	ENSP00000264474.3
P49841	ENSP00000264235.9
P49841	ENSP00000324806.5
O95996	ENSP00000233607.2
O95996	ENSP00000442954.1
O95996	ENSP00000467073.2
P48729	ENSP00000261798.6
P48729	ENSP00000367074.2
P48729	ENSP00000499757.1
O15169	ENSP00000262320.3
O15169	ENSP00000346935.3
Q8WZ42	ENSP00000343764.6
Q8WZ42	ENSP00000352154.5
Q8WZ42	ENSP00000354117.4
Q8WZ42	ENSP00000434586.1
Q8WZ42	ENSP00000465570.1
O15273	ENSP00000312624.2
Q05195	ENSP00000264444.2
Q05195	ENSP00000443935.1
P49840	ENSP00000222330.3
P49840	ENSP00000412663.1
P25054	ENSP00000257430.4
P25054	ENSP00000423224.2
P25054	ENSP00000427089.2
P25054	ENSP00000426541.2
P25054	ENSP00000423828.3
O15392	ENSP00000364086.1
O15392	ENSP00000465868.1
O15392	ENSP00000467336.1
O15392	ENSP00000466617.1
P13224	ENSP00000383382.2
P14770	ENSP00000303942.4
P07359	ENSP00000329380.5
P40197	ENSP00000383931.1
P40197	ENSP00000509337.1
P21333	ENSP00000353467.4
P21333	ENSP00000358866.3
P15309	ENSP00000337471.5
P15309	ENSP00000323036.8
P15309	ENSP00000417744.1
P05026	ENSP00000356789.3
P05026	ENSP00000356790.1
P05026	ENSP00000509039.1
P05026	ENSP00000509517.1
P54710	ENSP00000260287.2
P54710	ENSP00000292079.2
P54710	ENSP00000432430.1
P54710	ENSP00000436414.1
P05023	ENSP00000295598.5
P05023	ENSP00000358508.4
P05023	ENSP00000445306.1
Q8NBP7	ENSP00000303208.5
P01130	ENSP00000397829.2
P01130	ENSP00000440520.1
P01130	ENSP00000437639.1
P01130	ENSP00000453346.1
P01130	ENSP00000454071.1
P07355	ENSP00000346032.3
P07355	ENSP00000379342.3
P07355	ENSP00000411352.2
P07355	ENSP00000387545.3
P07355	ENSP00000452895.2
P07355	ENSP00000452981.2
P07355	ENSP00000453859.2
P07355	ENSP00000453694.2
P07355	ENSP00000452858.2
P07355	ENSP00000503447.1
P07355	ENSP00000503855.1
P07355	ENSP00000504164.1
P07355	ENSP00000503757.1
P07355	ENSP00000504035.1
P46379	ENSP00000211379.5
P46379	ENSP00000354368.5
P46379	ENSP00000354875.6
P46379	ENSP00000365143.4
P46379	ENSP00000372938.4
P46379	ENSP00000372940.2
P46379	ENSP00000412110.1
P46379	ENSP00000389121.1
P46379	ENSP00000402856.2
P46379	ENSP00000413698.2
P46379	ENSP00000410156.2
P46379	ENSP00000397894.2
P46379	ENSP00000390966.2
P46379	ENSP00000447546.2
P46379	ENSP00000447946.2
P46379	ENSP00000446525.2
P46379	ENSP00000478966.1
P46379	ENSP00000482413.1
P46379	ENSP00000477951.1
P46379	ENSP00000479238.1
P46379	ENSP00000484238.1
P46379	ENSP00000477867.1
P46379	ENSP00000502941.1
Q7L5D6	ENSP00000265857.3
Q7L5D6	ENSP00000385646.1
P11441	ENSP00000358674.4
Q9UPY3	ENSP00000343745.3
Q9UPY3	ENSP00000376783.1
Q9UPY3	ENSP00000437256.1
Q9UPY3	ENSP00000435681.1
Q9UPY3	ENSP00000433926.2
Q9UPY3	ENSP00000433060.3
Q9UPY3	ENSP00000444719.1
Q9UPY3	ENSP00000502730.2
Q15633	ENSP00000266987.2
Q15633	ENSP00000377885.2
Q15633	ENSP00000416077.2
Q9UKV8	ENSP00000220592.5
Q9UKV8	ENSP00000430176.1
Q8TAT6	ENSP00000331487.5
Q8TAT6	ENSP00000363879.5
Q92890	ENSP00000263202.9
Q92890	ENSP00000382439.1
P55072	ENSP00000351777.6
P10070	ENSP00000390436.1
P10071	ENSP00000379258.3
P10071	ENSP00000503743.1
P10071	ENSP00000502957.1
P54274	ENSP00000276602.6
P54274	ENSP00000276603.5
Q15554	ENSP00000254942.3
Q15554	ENSP00000454955.2
Q9NUX5	ENSP00000350249.3
Q9NUX5	ENSP00000499476.1
Q9NUX5	ENSP00000499635.1
Q9NUX5	ENSP00000499290.1
Q9NUX5	ENSP00000499546.1
Q9BSI4	ENSP00000267415.7
Q9BSI4	ENSP00000382350.4
Q9BSI4	ENSP00000494089.1
Q9BSI4	ENSP00000495019.1
Q96AP0	ENSP00000219251.8
Q96AP0	ENSP00000478084.1
Q14186	ENSP00000364519.4
Q01094	ENSP00000345571.5
P06400	ENSP00000267163.4
P43681	ENSP00000359285.4
P17787	ENSP00000357461.3
Q14209	ENSP00000355249.2
Q14209	ENSP00000489612.1
P32297	ENSP00000315602.5
P32297	ENSP00000267951.4
P32297	ENSP00000452896.1
P30532	ENSP00000299565.5
Q14654	ENSP00000345708.4
Q14654	ENSP00000434755.1
Q14654	ENSP00000508090.1
Q14654	ENSP00000506780.1
Q09428	ENSP00000303960.4
Q09428	ENSP00000374467.4
Q09428	ENSP00000495532.1
Q09428	ENSP00000507005.1
O60706	ENSP00000261200.4
O60706	ENSP00000261201.4
Q9H1Y0	ENSP00000343313.3
Q9H1Y0	ENSP00000358072.3
Q9H1Y0	ENSP00000490493.1
Q676U5	ENSP00000318259.6
Q676U5	ENSP00000362625.5
Q676U5	ENSP00000375872.4
Q676U5	ENSP00000375875.4
Q676U5	ENSP00000487542.1
Q676U5	ENSP00000487298.1
Q676U5	ENSP00000487446.1
Q676U5	ENSP00000487455.1
O94817	ENSP00000425164.1
O94817	ENSP00000425107.1
P50750	ENSP00000362361.4
O60563	ENSP00000261900.3
O60563	ENSP00000399845.2
O60563	ENSP00000481035.1
P36544	ENSP00000303727.2
P36544	ENSP00000399087.3
P36544	ENSP00000407546.3
P36544	ENSP00000405989.3
P36544	ENSP00000502560.1
Q9NYV4	ENSP00000407720.2
Q9NYV4	ENSP00000398880.4
O75909	ENSP00000374529.5
Q04844	ENSP00000497829.1
P11230	ENSP00000304290.2
P11230	ENSP00000439209.2
P11230	ENSP00000492221.1
P11230	ENSP00000491113.1
P02708	ENSP00000261007.5
P02708	ENSP00000261008.5
Q07001	ENSP00000258385.3
Q07001	ENSP00000438380.1
P46937	ENSP00000282441.5
P46937	ENSP00000331023.4
P46937	ENSP00000435602.1
P46937	ENSP00000434134.1
P46937	ENSP00000431574.1
P46937	ENSP00000445635.1
P46937	ENSP00000478927.1
P46937	ENSP00000487519.1
P28347	ENSP00000334754.6
P28347	ENSP00000435233.2
Q9UNZ2	ENSP00000216879.4
Q9UNZ2	ENSP00000338643.2
Q9UNZ2	ENSP00000418529.1
Q9P1Z3	ENSP00000357342.3
Q9P1Z3	ENSP00000458364.1
P46098	ENSP00000299961.4
P46098	ENSP00000347754.2
P46098	ENSP00000364648.2
P46098	ENSP00000424189.2
P46098	ENSP00000424776.2
O95264	ENSP00000260191.2
O95264	ENSP00000443118.1
Q05586	ENSP00000360601.4
Q05586	ENSP00000360605.4
Q05586	ENSP00000360608.3
Q05586	ENSP00000360614.4
Q05586	ENSP00000360615.3
Q05586	ENSP00000360616.3
Q13224	ENSP00000477455.1
Q13224	ENSP00000486677.3
Q14957	ENSP00000293190.5
O15399	ENSP00000263269.2
Q07817	ENSP00000302564.4
Q07817	ENSP00000365223.4
Q07817	ENSP00000365230.2
Q07817	ENSP00000390760.2
Q07817	ENSP00000411252.2
Q07817	ENSP00000401173.2
Q07817	ENSP00000389688.2
Q07817	ENSP00000395545.2
Q07817	ENSP00000503725.1
Q07817	ENSP00000504536.1
Q07817	ENSP00000504387.1
Q07817	ENSP00000504237.1
Q13794	ENSP00000269518.9
Q13794	ENSP00000326119.7
Q07820	ENSP00000309973.3
Q07820	ENSP00000358022.2
Q07820	ENSP00000502859.1
Q92466	ENSP00000256996.4
Q92466	ENSP00000367863.3
Q92466	ENSP00000367864.3
Q92466	ENSP00000367866.3
Q92466	ENSP00000478411.1
Q16531	ENSP00000301764.7
Q16531	ENSP00000506223.1
Q16531	ENSP00000506685.1
Q92843	ENSP00000250405.6
Q92843	ENSP00000451320.1
Q92843	ENSP00000503091.1
Q92843	ENSP00000452479.1
Q92843	ENSP00000504570.1
Q92843	ENSP00000503368.1
Q92843	ENSP00000503012.1
Q13323	ENSP00000216115.2
Q9UJU2	ENSP00000265165.1
Q9UJU2	ENSP00000369284.2
Q9UJU2	ENSP00000406176.2
Q9UJU2	ENSP00000422334.1
Q9UJU2	ENSP00000422840.1
P35222	ENSP00000344456.5
P35222	ENSP00000379486.3
P35222	ENSP00000379488.3
P35222	ENSP00000385604.1
P35222	ENSP00000412219.2
P35222	ENSP00000387455.2
P35222	ENSP00000401599.2
P35222	ENSP00000409302.2
P35222	ENSP00000495244.1
P35222	ENSP00000495076.1
P35222	ENSP00000495719.1
P35222	ENSP00000496385.1
P35222	ENSP00000495450.1
P35222	ENSP00000494677.1
P35222	ENSP00000494411.1
P35222	ENSP00000494053.1
P35222	ENSP00000493610.1
P35222	ENSP00000495992.1
P35222	ENSP00000496180.1
P35222	ENSP00000495360.1
P35222	ENSP00000494845.1
P35222	ENSP00000494914.1
P35222	ENSP00000496021.1
P35222	ENSP00000493533.1
P35222	ENSP00000493583.2
O60583	ENSP00000264157.5
O60583	ENSP00000295238.6
Q8N1B3	ENSP00000402949.2
Q8N1B3	ENSP00000461135.1
Q15131	ENSP00000338673.7
Q15131	ENSP00000424415.1
Q15131	ENSP00000484357.1
Q9H444	ENSP00000217402.2
Q9Y3E7	ENSP00000263856.4
Q9Y3E7	ENSP00000386590.2
Q9Y3E7	ENSP00000387045.1
O43633	ENSP00000310440.1
O43633	ENSP00000471961.2
O43633	ENSP00000469453.2
O43633	ENSP00000469240.1
O43633	ENSP00000472680.1
Q7LBR1	ENSP00000432279.1
Q9NZZ3	ENSP00000223500.7
Q9NZZ3	ENSP00000442725.1
Q9HD42	ENSP00000380998.3
Q96CF2	ENSP00000297265.4
Q9BY43	ENSP00000324205.11
Q9BY43	ENSP00000495982.2
Q8WUX9	ENSP00000324491.7
Q8WUX9	ENSP00000380794.1
Q8WUX9	ENSP00000427948.1
Q9UQN3	ENSP00000263780.4
Q9UQN3	ENSP00000419998.1
Q96FZ7	ENSP00000317468.5
Q00526	ENSP00000410561.1
Q00526	ENSP00000400088.1
P24863	ENSP00000428982.1
P24863	ENSP00000430014.1
P24863	ENSP00000430119.1
Q9UN37	ENSP00000254950.11
O75351	ENSP00000238497.4
Q9UQ88	ENSP00000351629.5
Q9UQ88	ENSP00000367900.1
Q9UQ88	ENSP00000384442.3
Q9UK58	ENSP00000295925.4
Q9UK58	ENSP00000295926.4
Q9UK58	ENSP00000420277.1
Q9UK58	ENSP00000418094.1
Q9UK58	ENSP00000417237.1
Q9UK58	ENSP00000417343.1
Q9UK58	ENSP00000418449.1
Q9UK58	ENSP00000487951.1
Q96S94	ENSP00000383611.3
Q96S94	ENSP00000386158.4
Q96S94	ENSP00000423734.1
Q96S94	ENSP00000424647.1
P21127	ENSP00000464016.2
P21127	ENSP00000463048.2
P21127	ENSP00000464036.2
Q8NAA4	ENSP00000326340.5
Q7Z6L1	ENSP00000404923.2
Q14004	ENSP00000181839.4
Q14004	ENSP00000340557.5
Q9Y251	ENSP00000308107.5
Q9Y251	ENSP00000384262.2
Q9Y251	ENSP00000421038.1
Q9Y251	ENSP00000423265.1
Q9Y251	ENSP00000421365.1
Q8ND76	ENSP00000265375.9
Q8ND76	ENSP00000344275.5
Q8ND76	ENSP00000363836.4
Q8ND76	ENSP00000363838.1
O94921	ENSP00000265741.3
O94921	ENSP00000369390.3
O94921	ENSP00000385034.1
O75385	ENSP00000324560.3
Q9BSB4	ENSP00000338990.4
Q8TDY2	ENSP00000025008.5
Q8TDY2	ENSP00000396067.2
O75143	ENSP00000352500.4
O75143	ENSP00000433543.1
O75143	ENSP00000431974.1
O75143	ENSP00000432412.1
O75143	ENSP00000433756.1
O75143	ENSP00000434390.1
O75143	ENSP00000507809.1
P29460	ENSP00000231228.2
P29459	ENSP00000514529.1
Q99665	ENSP00000262345.1
Q99665	ENSP00000360039.1
Q99665	ENSP00000442443.1
Q99665	ENSP00000497959.1
Q99665	ENSP00000501329.1
Q99665	ENSP00000512854.1
P42701	ENSP00000314425.5
P42701	ENSP00000472165.2
P42701	ENSP00000470788.1
P29597	ENSP00000431885.1
P29597	ENSP00000436175.2
O60674	ENSP00000371067.4
Q5VWK5	ENSP00000321345.5
Q5VWK5	ENSP00000387640.2
Q5VWK5	ENSP00000513138.1
Q5VWK5	ENSP00000513139.1
Q5VWK5	ENSP00000513140.1
Q5VWK5	ENSP00000513142.1
Q5VWK5	ENSP00000513190.1
Q5VWK5	ENSP00000513191.1
Q9NPF7	ENSP00000228534.4
Q92560	ENSP00000417132.1
Q8IXJ9	ENSP00000364839.4
Q9Y5B9	ENSP00000216297.2
Q08945	ENSP00000278412.2
Q9Y6C2	ENSP00000369677.4
Q9UIF9	ENSP00000446880.1
O60264	ENSP00000283131.3
Q9NRL2	ENSP00000351555.4
Q9NRL2	ENSP00000353458.1
Q9NRL2	ENSP00000371859.2
Q9BXX0	ENSP00000254528.3
Q9Y2T1	ENSP00000302625.5
Q13201	ENSP00000264790.2
Q13201	ENSP00000378431.1
Q9BXF3	ENSP00000262608.11
Q9BXF3	ENSP00000341219.6
P28370	ENSP00000360163.4
Q9H8L6	ENSP00000361097.4
Q96T23	ENSP00000311513.6
Q96T23	ENSP00000434509.1
Q92837	ENSP00000360060.3
O75474	ENSP00000360058.2
O43463	ENSP00000337976.6
O43463	ENSP00000365877.4
O43159	ENSP00000254605.6
Q96EB6	ENSP00000212015.6
Q9Y468	ENSP00000362227.3
Q9Y468	ENSP00000410139.2
Q9Y468	ENSP00000402107.4
Q13185	ENSP00000336687.4
Q13185	ENSP00000379670.2
P05121	ENSP00000223095.4
P04004	ENSP00000226218.4
Q13619	ENSP00000364589.4
Q13619	ENSP00000364590.3
Q13619	ENSP00000389118.1
Q13619	ENSP00000481782.1
P62877	ENSP00000216225.8
Q92889	ENSP00000310520.7
Q92889	ENSP00000459933.1
P07992	ENSP00000013807.4
P07992	ENSP00000300853.3
P07992	ENSP00000345203.6
P07992	ENSP00000394875.2
P07992	ENSP00000468035.1
P05412	ENSP00000360266.2
P05412	ENSP00000503132.1
Q13469	ENSP00000360619.3
Q13469	ENSP00000379330.3
Q13469	ENSP00000396471.1
Q13469	ENSP00000477342.1
Q13469	ENSP00000477370.1
Q13469	ENSP00000477142.1
P01100	ENSP00000306245.4
P01100	ENSP00000442268.1
P01100	ENSP00000452590.1
O43521	ENSP00000309226.8
O43521	ENSP00000376943.2
O43521	ENSP00000384641.1
O43521	ENSP00000393781.1
O43521	ENSP00000394640.1
O43521	ENSP00000403727.1
O43521	ENSP00000412892.1
O43521	ENSP00000411137.1
O43521	ENSP00000391292.1
O43521	ENSP00000520413.1
Q9BQ15	ENSP00000267023.4
Q9BQ15	ENSP00000368862.3
Q9BQ15	ENSP00000369545.2
Q9NRY2	ENSP00000363360.3
Q68E01	ENSP00000318641.2
Q68E01	ENSP00000404290.2
Q68E01	ENSP00000425437.1
Q68E01	ENSP00000458631.1
Q68E01	ENSP00000460221.1
Q68E01	ENSP00000459907.1
P00749	ENSP00000361850.3
P00749	ENSP00000388474.1
Q8IY92	ENSP00000294008.3
Q13404	ENSP00000340305.3
Q13404	ENSP00000360720.5
Q13404	ENSP00000360739.4
Q13404	ENSP00000360742.3
Q13404	ENSP00000407770.2
P61088	ENSP00000316176.2
Q03405	ENSP00000221264.3
Q03405	ENSP00000342049.2
Q03405	ENSP00000339328.3
Q9P0L0	ENSP00000345656.4
Q9P0L0	ENSP00000382880.3
P22059	ENSP00000263847.1
P00750	ENSP00000220809.4
P00750	ENSP00000270188.6
P00750	ENSP00000392045.2
P00750	ENSP00000504311.1
O75469	ENSP00000336528.4
O75469	ENSP00000377319.3
O75469	ENSP00000420297.2
P19793	ENSP00000419692.1
P17535	ENSP00000252818.3
O00255	ENSP00000308975.6
O00255	ENSP00000323747.4
O00255	ENSP00000366530.1
O00255	ENSP00000366543.3
O00255	ENSP00000411218.2
O00255	ENSP00000388016.2
O00255	ENSP00000402752.2
O00255	ENSP00000413944.2
O00255	ENSP00000394933.3
O00255	ENSP00000518530.1
P07686	ENSP00000261416.7
P06865	ENSP00000268097.6
Q9BVC4	ENSP00000371888.4
Q9BVC4	ENSP00000380313.1
Q9BVC4	ENSP00000457870.1
Q9BVC4	ENSP00000455046.1
Q9BVC4	ENSP00000456405.1
Q8N122	ENSP00000307272.3
Q8N122	ENSP00000442479.2
Q8N122	ENSP00000460136.1
P42345	ENSP00000354558.4
P42345	ENSP00000515200.2
P10242	ENSP00000339992.5
P10242	ENSP00000356786.2
P10242	ENSP00000356788.4
P10242	ENSP00000410825.2
P10242	ENSP00000435938.1
P10242	ENSP00000437081.1
P10242	ENSP00000435578.1
P10242	ENSP00000434723.1
P10242	ENSP00000437264.1
P10242	ENSP00000432811.1
P10242	ENSP00000436605.1
P10242	ENSP00000435293.1
P10242	ENSP00000434639.1
P10242	ENSP00000435055.1
P10242	ENSP00000432851.1
P10276	ENSP00000254066.5
P10276	ENSP00000377643.3
P10276	ENSP00000377649.2
P10276	ENSP00000389993.3
P32927	ENSP00000384053.3
P32927	ENSP00000385271.1
P15509	ENSP00000347606.3
P15509	ENSP00000348058.2
P15509	ENSP00000370911.1
P15509	ENSP00000370920.3
P15509	ENSP00000370935.3
P15509	ENSP00000370940.3
P15509	ENSP00000416437.2
P15509	ENSP00000512483.1
P15509	ENSP00000518635.1
P15509	ENSP00000518633.1
P15509	ENSP00000518637.1
P15509	ENSP00000518638.1
P15509	ENSP00000518632.1
P15509	ENSP00000518630.1
P15509	ENSP00000518629.1
P15509	ENSP00000518627.1
P04141	ENSP00000296871.2
Q15596	ENSP00000399968.2
O00499	ENSP00000259238.4
O00499	ENSP00000316779.5
O00499	ENSP00000315411.3
O00499	ENSP00000259237.5
O00499	ENSP00000315388.3
O00499	ENSP00000315284.4
O00499	ENSP00000350654.3
O00499	ENSP00000365281.2
O00499	ENSP00000376760.3
O00499	ENSP00000376761.3
O00499	ENSP00000386797.1
P53567	ENSP00000284000.2
P53567	ENSP00000466022.2
P53567	ENSP00000499062.1
Q15788	ENSP00000288599.5
Q15788	ENSP00000320940.5
Q15788	ENSP00000379197.3
Q15788	ENSP00000385097.1
Q15788	ENSP00000385216.1
P52657	ENSP00000379372.2
P52657	ENSP00000379373.1
P52657	ENSP00000379375.1
P52655	ENSP00000409492.2
P52655	ENSP00000452454.1
P01137	ENSP00000221930.4
P36897	ENSP00000364129.2
P36897	ENSP00000364133.4
P36897	ENSP00000447297.1
P37173	ENSP00000295754.5
P37173	ENSP00000351905.4
Q15819	ENSP00000428209.1
Q9BZD4	ENSP00000271452.3
Q9BZD4	ENSP00000356875.3
Q9HBM1	ENSP00000282074.2
Q9HBM1	ENSP00000481354.1
Q9HBM1	ENSP00000483050.1
O14777	ENSP00000261597.4
Q8NBT2	ENSP00000465075.1
Q13112	ENSP00000315700.4
Q13111	ENSP00000301280.4
Q09028	ENSP00000362584.1
Q09028	ENSP00000362592.4
Q09028	ENSP00000398242.3
Q09028	ENSP00000396057.2
P51946	ENSP00000256897.4
P51946	ENSP00000518855.1
P51948	ENSP00000261245.4
P51948	ENSP00000446437.2
P50613	ENSP00000256443.3
P50613	ENSP00000479116.1
P61812	ENSP00000355896.4
P61812	ENSP00000355897.4
P10600	ENSP00000238682.3
P10600	ENSP00000451110.1
P10600	ENSP00000502685.1
Q96AH0	ENSP00000307968.3
Q96AH0	ENSP00000386605.1
Q96AH0	ENSP00000387243.1
Q96AH0	ENSP00000403683.2
Q96AH0	ENSP00000390901.1
Q96AH0	ENSP00000501340.1
Q96AH0	ENSP00000501440.1
Q96AH0	ENSP00000501487.1
Q96AH0	ENSP00000501480.1
Q96AH0	ENSP00000501496.1
Q96AH0	ENSP00000501415.1
P49716	ENSP00000386165.3
Q13426	ENSP00000282268.3
Q13426	ENSP00000342011.6
Q13426	ENSP00000379344.4
Q13426	ENSP00000421491.1
P49917	ENSP00000385955.1
P49917	ENSP00000402030.1
P49917	ENSP00000484288.1
P49917	ENSP00000510567.1
P49917	ENSP00000509942.1
P49917	ENSP00000509685.1
P49917	ENSP00000509299.1
P49917	ENSP00000509122.1
P49917	ENSP00000508512.1
P49917	ENSP00000509344.1
P49917	ENSP00000509564.1
P49917	ENSP00000509304.1
P49917	ENSP00000509906.1
P49917	ENSP00000509502.1
P49917	ENSP00000509226.1
P49917	ENSP00000510014.1
P11473	ENSP00000378734.2
P11473	ENSP00000449573.2
P11473	ENSP00000447173.1
Q13133	ENSP00000378793.3
Q13133	ENSP00000384745.3
Q13133	ENSP00000385801.1
Q13133	ENSP00000387946.2
Q13133	ENSP00000420656.1
Q14919	ENSP00000307850.2
Q01658	ENSP00000359290.1
Q01658	ENSP00000359295.3
Q13620	ENSP00000360373.5
Q13620	ENSP00000360374.3
Q13620	ENSP00000505084.1
Q13620	ENSP00000506259.1
Q13620	ENSP00000505176.1
P55055	ENSP00000253727.4
P55055	ENSP00000396151.2
P55055	ENSP00000471194.1
P55055	ENSP00000499121.1
P28702	ENSP00000363812.3
P28702	ENSP00000363817.4
P28702	ENSP00000372703.4
P28702	ENSP00000372704.4
P28702	ENSP00000402506.2
P28702	ENSP00000410468.2
P28702	ENSP00000393286.2
P28702	ENSP00000411238.2
P28702	ENSP00000415199.2
P28702	ENSP00000402590.2
P28702	ENSP00000400104.2
P28702	ENSP00000393870.2
P10828	ENSP00000280696.5
P10828	ENSP00000348827.4
P10828	ENSP00000379904.2
P10828	ENSP00000414444.1
P10828	ENSP00000494618.1
P10828	ENSP00000496029.1
P10828	ENSP00000496616.1
P10828	ENSP00000493709.1
P10828	ENSP00000496686.2
P10828	ENSP00000496509.1
O75496	ENSP00000230056.3
O75496	ENSP00000348902.3
O75496	ENSP00000477506.1
Q9H211	ENSP00000301019.4
P31274	ENSP00000302836.4
P31274	ENSP00000423861.1
D6RGH6	ENSP00000426359.1
P10827	ENSP00000264637.4
P10827	ENSP00000377679.4
P10827	ENSP00000395641.3
P10827	ENSP00000443972.1
P10827	ENSP00000463466.1
P04637	ENSP00000269305.4
P04637	ENSP00000391127.2
P04637	ENSP00000391478.2
P04637	ENSP00000398846.2
P04637	ENSP00000426252.2
P04637	ENSP00000484409.1
P04637	ENSP00000481179.1
P04637	ENSP00000424104.2
P04637	ENSP00000425104.2
P04637	ENSP00000478499.1
P04637	ENSP00000478219.1
P04637	ENSP00000480868.1
P04637	ENSP00000482537.1
P04637	ENSP00000481638.1
P04637	ENSP00000482222.1
P04637	ENSP00000519624.1
P04637	ENSP00000519626.1
O15151	ENSP00000356150.3
O15151	ENSP00000356151.3
O15151	ENSP00000396840.2
P01225	ENSP00000254122.3
P01225	ENSP00000416606.1
P01225	ENSP00000433424.1
P01215	ENSP00000486024.1
Q13765	ENSP00000349212.3
Q13765	ENSP00000377469.4
