GTRD_CELL_TYPE_ID	GTRD_CELL_TYPE_NAME	BAD_GROUP_NAME_agg	cellosaurus_id	species	cell_ontology_id	exp_factor_ontology_id	uberon_id	source	source_id	cell_type_id	brenda_id	other_id
119	BT-474 (breast invasive ductal carcinoma)	BT-474__breast_invasive_ductal_carcinoma_	CVCL_0179	Homo sapiens	CLO:0002042			cell line	CL:0000010	CVCL_0179	BTO:0001932	NULL
758	SK-BR-3 (breast adenocarcinoma)	SK-BR-3__breast_adenocarcinoma_	CVCL_0033	Homo sapiens	CLO:0009034			cell line	CL:0000010	CVCL_0033	BTO:0002419	NULL
7	22RV1 (prostate carcinoma)	22RV1__prostate_carcinoma_	CVCL_1045	Homo sapiens	CLO:0001199	EFO:0002095		cell line	CL:0000010	CVCL_1045	BTO:0002999	NULL
3117	LN95(Prostate adenocarcinoma)	LN95_Prostate_adenocarcinoma_		Homo sapiens				cell line	CL:0000010			NULL
376	WA01 (H1, human embryonic stem cells)	WA01__H1__human_embryonic_stem_cells_	CVCL_9771	Homo sapiens	CLO:0037281	EFO:0003042		cell line	CL:0000010	CVCL_9771		NULL
356	GM12878 (female B-cells lymphoblastoid cell line)	GM12878__female_B-cells_lymphoblastoid_cell_line_	CVCL_7526	Homo sapiens	CLO:0022851	EFO:0002784		cell line	CL:0000010	CVCL_7526		NULL
3142	GM06986(lymphoblastoid cell line,EBV transformed)	GM06986_lymphoblastoid_cell_line_EBV_transformed_	CVCL_R578	Homo sapiens				cell line	CL:0000010			NULL
3143	GM06989 (Lymphoblastoid cell line, EBV transformed)	GM06989__Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R579	Homo sapiens				cell line	CL:0000010			NULL
3144	GM06997(Lymphoblastoid cell line, EBV transformed)	GM06997_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R582	Homo sapiens				cell line	CL:0000010			NULL
3145	GM07029(Lymphoblastoid cell line, EBV transformed)	GM07029_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_7462	Homo sapiens				cell line	CL:0000010			NULL
3146	GM07045(Lymphoblastoid cell line, EBV transformed)	GM07045_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R586	Homo sapiens				cell line	CL:0000010			NULL
3147	GM10831(Lymphoblastoid cell line, EBV transformed)	GM10831_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_G512	Homo sapiens				cell line	CL:0000010			NULL
3148	GM10846(Lymphoblastoid cell line, EBV transformed)	GM10846_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R604	Homo sapiens				cell line	CL:0000010			NULL
339	GM10847 (female B-cells Lymphoblastoid Cell Lines)	GM10847__female_B-cells_Lymphoblastoid_Cell_Lines_	CVCL_N799	Homo sapiens	CLO:0023758	EFO:0005336		cell line	CL:0000010	CVCL_N799		NULL
3149	GM11829(Lymphoblastoid cell line, EBV transformed)	GM11829_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_7508	Homo sapiens				cell line	CL:0000010			NULL
3150	GM11832(Lymphoblastoid cell line, EBV transformed)	GM11832_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_9598	Homo sapiens				cell line	CL:0000010			NULL
3151	GM11918(Lymphoblastoid cell line, EBV transformed)	GM11918_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R624	Homo sapiens				cell line	CL:0000010			NULL
3152	GM11919(Lymphoblastoid cell line, EBV transformed)	GM11919_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R625	Homo sapiens				cell line	CL:0000010			NULL
3153	GM12264(Lymphoblastoid cell line, EBV transformed)	GM12264_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R631	Homo sapiens				cell line	CL:0000010			NULL
3154	GM12383(Lymphoblastoid cell line, EBV transformed)	GM12383_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R652	Homo sapiens				cell line	CL:0000010			NULL
3155	GM12489(Lymphoblastoid cell line, EBV transformed)	GM12489_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R659	Homo sapiens				cell line	CL:0000010			NULL
3156	GM12716(Lymphoblastoid cell line, EBV transformed)	GM12716_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_9615	Homo sapiens				cell line	CL:0000010			NULL
3157	GM12752(Lymphoblastoid cell line, EBV transformed)	GM12752_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_R668	Homo sapiens				cell line	CL:0000010			NULL
352	GM12872 (male B-cells)	GM12872__male_B-cells_	CVCL_9626	Homo sapiens	CLO:0022836	EFO:0001159		cell line	CL:0000010	CVCL_9626		NULL
3158	GM19189(Lymphoblastoid cell line, EBV transformed)	GM19189_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_P539	Homo sapiens				cell line	CL:0000010			NULL
3159	GM19190(Lymphoblastoid cell line, EBV transformed)	GM19190_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_P540	Homo sapiens				cell line	CL:0000010			NULL
3160	GM19191(Lymphoblastoid cell line, EBV transformed)	GM19191_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_0X77	Homo sapiens				cell line	CL:0000010			NULL
3161	GM19213(Lymphoblastoid cell line, EBV transformed)	GM19213_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_P550	Homo sapiens				cell line	CL:0000010			NULL
3162	GM19214(Lymphoblastoid cell line, EBV transformed)	GM19214_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_P551	Homo sapiens				cell line	CL:0000010			NULL
3163	GM19215(Lymphoblastoid cell line, EBV transformed)	GM19215_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_0X87	Homo sapiens				cell line	CL:0000010			NULL
3164	GM19235(Lymphoblastoid cell line, EBV transformed)	GM19235_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_P555	Homo sapiens				cell line	CL:0000010			NULL
3165	GM19236(Lymphoblastoid cell line, EBV transformed)	GM19236_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_P556	Homo sapiens				cell line	CL:0000010			NULL
3166	GM19237(Lymphoblastoid cell line, EBV transformed)	GM19237_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_0X96	Homo sapiens				cell line	CL:0000010			NULL
3167	GM19247(Lymphoblastoid cell line, EBV transformed)	GM19247_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_P557	Homo sapiens				cell line	CL:0000010			NULL
3168	GM19248(Lymphoblastoid cell line, EBV transformed)	GM19248_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_P558	Homo sapiens				cell line	CL:0000010			NULL
3169	GM19249(Lymphoblastoid cell line, EBV transformed)	GM19249_Lymphoblastoid_cell_line__EBV_transformed_	CVCL_1A16	Homo sapiens				cell line	CL:0000010			NULL
78	HeLa (cervical adenocarcinoma)	HeLa__cervical_adenocarcinoma_	CVCL_0030	Homo sapiens		EFO:0001185		cell line	CL:0000010	CVCL_0030	BTO:0000567	NULL
422	HeLa Kyoto (cervical adenocarcinoma)	HeLa_Kyoto__cervical_adenocarcinoma_	CVCL_1922	Homo sapiens				cell line	CL:0000010	CVCL_1922		NULL
881	CD4+ T-cells	CD4+_T-cells		Homo sapiens				immune system	UBERON:0002405	CL:0000084		NULL
2301	MDA-MB-231 (breast adenocarcinoma)	MDA-MB-231__breast_adenocarcinoma_	CVCL_0062	Homo sapiens	CLO:0007634	EFO:0001209		cell line	CL:0000010	CVCL_0062	BTO:0000815	NULL
878	embryonic stem cells	embryonic_stem_cells		Homo sapiens				stem cell	CL:0000034	CL:0002322		NULL
472	HUVEC-C (HUVEC, umbilical vein endothelial cells)	HUVEC-C__HUVEC__umbilical_vein_endothelial_cells_	CVCL_2959	Homo sapiens	CL:0002618	EFO:0002451		cell line	CL:0000010	CVCL_2959	BTO:0001949	NULL
421	HEK293 (embryonic kidney)	HEK293__embryonic_kidney_	CVCL_0045	Homo sapiens	CLO:0001230	EFO:0001182		cell line	CL:0000010	CVCL_0045		NULL
290	EWS502 (Ewing sarcoma)	EWS502__Ewing_sarcoma_	CVCL_S740	Homo sapiens				cell line	CL:0000010	CVCL_S740		NULL
557	LS180 (colon cancer)	LS180__colon_cancer_	CVCL_0397	Homo sapiens	CLO:0007404			cell line	CL:0000010	CVCL_0397		NULL
417	HCT-116 (colon carcinoma)	HCT-116__colon_carcinoma_	CVCL_0291	Homo sapiens	CLO:0003665	EFO:0002824		cell line	CL:0000010	CVCL_0291	BTO:0001109	NULL
509	Jurkat (T-cells)	Jurkat__T-cells_	CVCL_0065	Homo sapiens		EFO:0002796		cell line	CL:0000010	CVCL_0065	BTO:0000661	NULL
664	SH-SY5Y (neuroblastoma)	SH-SY5Y__neuroblastoma_	CVCL_0019	Homo sapiens		EFO:0002717		cell line	CL:0000010	CVCL_0019	BTO:0000793	NULL
335	GM06990 (female B-cells)	GM06990__female_B-cells_	CVCL_9587	Homo sapiens	CLO:0036556	EFO:0002783		cell line	CL:0000010	CVCL_9587		NULL
396	WA09 (embryonic stem cells)	WA09__embryonic_stem_cells_	CVCL_9773	Homo sapiens	CLO:0037313	EFO:0003045		cell line	CL:0000010	CVCL_9773		NULL
331	GIST48 (gastrointestinal stromal tumor)	GIST48__gastrointestinal_stromal_tumor_	CVCL_7041	Homo sapiens				cell line	CL:0000010	CVCL_7041		NULL
552	LN229 (glioblastoma)	LN229__glioblastoma_	CVCL_0393	Homo sapiens				cell line	CL:0000010	CVCL_0393	BTO:0002004	NULL
165	CD34+CD133+ hematopoietic progenitors	CD34+CD133+_hematopoietic_progenitors		Homo sapiens				stem cell	CL:0000034	CL:0008001		NULL
743	proerythroblasts	proerythroblasts		Homo sapiens				stem cell	CL:0000034	CL:0000547		NULL
512	JURL-MK1 (chronic myelogenous leukemia)	JURL-MK1__chronic_myelogenous_leukemia_	CVCL_2086	Homo sapiens	CLO:0009838			cell line	CL:0000010	CVCL_2086		NULL
2334	THP-1 (acute monocytic leukemia)	THP-1__acute_monocytic_leukemia_	CVCL_0006	Homo sapiens	CLO:0009348	EFO:0001253		cell line	CL:0000010	CVCL_0006	BTO:0001370	NULL
470	pulmonary arterial smooth muscle cells	pulmonary_arterial_smooth_muscle_cells		Homo sapiens				vascular system	UBERON:0007798	CL:0000192	BTO:0000087	NULL
467	myoblasts	myoblasts		Homo sapiens				muscular tissue	UBERON:0002385	CL:0000056		NULL
129	LNCaP C4-2B (prostate carcinoma)	LNCaP_C4-2B__prostate_carcinoma_	CVCL_4784	Homo sapiens		EFO:0006365		cell line	CL:0000010	CVCL_4784	BTO:0004959	NULL
215	keratinocytes	keratinocytes		Homo sapiens	CL:0000312			skin	UBERON:0002199	CL:0000312		NULL
510	Jurkat E6.1 (T-cells)	Jurkat_E6_1__T-cells_	CVCL_0367	Homo sapiens				cell line	CL:0000010	CVCL_0367	BTO:0001948	NULL
430	HepG2 (hepatoblastoma)	HepG2__hepatoblastoma_	CVCL_0027	Homo sapiens	CLO:0003704	EFO:0001187		cell line	CL:0000010	CVCL_0027	BTO:0000599	NULL
884	heart	heart		Homo sapiens			UBERON:0000948	heart	UBERON:0000948	UBERON:0000948	BTO:0000562	NULL
340	GM10855 (female B-cells)	GM10855__female_B-cells_	CVCL_R610	Homo sapiens	CLO:0023763			cell line	CL:0000010	CVCL_R610		NULL
341	GM10861 (female B-cells)	GM10861__female_B-cells_	CVCL_R614	Homo sapiens	CLO:0024094			cell line	CL:0000010	CVCL_R614		NULL
598	megakaryocytes	megakaryocytes		Homo sapiens				hematopoietic system	UBERON:0002390	CL:0000556		NULL
882	T-cells	T-cells		Homo sapiens	CL:0000084			immune system	UBERON:0002405	CL:0000084		NULL
71	VCaP (prostate carcinoma)	VCaP__prostate_carcinoma_	CVCL_2235	Homo sapiens	CLO:0037117	EFO:0007752		cell line	CL:0000010	CVCL_2235	BTO:0003215	NULL
563	LY-2 (invasive ductal carcinoma)	LY-2__invasive_ductal_carcinoma_	CVCL_9579	Homo sapiens				cell line	CL:0000010	CVCL_9579		NULL
474	IB4 (lymphocytes)	IB4__lymphocytes_	CVCL_0339	Homo sapiens	CLO:0004330			cell line	CL:0000010	CVCL_0339		NULL
725	PC3(bone mets prostate adenocarcinoma)	PC3_bone_mets_prostate_adenocarcinoma_	CVCL_0035	Homo sapiens		EFO:0002074		cell line	CL:0000010	CVCL_0035		NULL
781	RWPE1 (prostate epithelial cells)	RWPE1__prostate_epithelial_cells_	CVCL_3791	Homo sapiens		EFO:0002323		cell line	CL:0000010	CVCL_3791	BTO:0003709	NULL
92	BJAB (Burkitt lymphoma)	BJAB__Burkitt_lymphoma_	CVCL_5711	Homo sapiens		EFO:0002815		cell line	CL:0000010	CVCL_5711	BTO:0001931	NULL
94	BL41(Burkitt lymphoma)	BL41_Burkitt_lymphoma_	CVCL_1087	Homo sapiens				cell line	CL:0000010	CVCL_1087		NULL
489	IMR90 (lung fibroblasts)	IMR90__lung_fibroblasts_	CVCL_0347	Homo sapiens		EFO:0001196		cell line	CL:0000010	CVCL_0347		NULL
783	SaOS2 (osteosarcoma)	SaOS2__osteosarcoma_	CVCL_0548	Homo sapiens				cell line	CL:0000010	CVCL_0548	BTO:0000971	NULL
188	LS174T (colon adenocarcinoma)	LS174T__colon_adenocarcinoma_	CVCL_1384	Homo sapiens		EFO:0002227		cell line	CL:0000010	CVCL_1384	BTO:0001553	NULL
397	H9-derived endodermal progenitors	H9-derived_endodermal_progenitors		Homo sapiens				cell line	CL:0000010			NULL
402	pancreatic islets	pancreatic_islets		Homo sapiens				pancreas	UBERON:0001264	BTO:0000991		NULL
603	mesenchymal stem cells-derived adipocytes	mesenchymal_stem_cells-derived_adipocytes		Homo sapiens				stem cell	CL:0000034	BTO:0000443		NULL
183	CMK (acute megakaryoblastic leukemia)	CMK__acute_megakaryoblastic_leukemia_	CVCL_0216	Homo sapiens	CLO:0002526	EFO:0003037		cell line	CL:0000010	CVCL_0216	BTO:0000978	NULL
673	normal epidermal keratinocytes	normal_epidermal_keratinocytes		Homo sapiens				skin	UBERON:0002199	CL:0000312		NULL
93	BJ (fibroblasts)	BJ__fibroblasts_	CVCL_3653	Homo sapiens	CLO:0001980	EFO:0002779		cell line	CL:0000010	CVCL_3653		NULL
154	CD133+ umbilical cord blood cells	CD133+_umbilical_cord_blood_cells		Homo sapiens			UBERON:0012168	umbilical cord blood	UBERON:0012168	UBERON:0012168	BTO:0004054	NULL
111	T47D (invasive ductal carcinoma)	T47D__invasive_ductal_carcinoma_	CVCL_0553	Homo sapiens	CLO:0009251	EFO:0001247		cell line	CL:0000010	CVCL_0553	BTO:0001248	NULL
199	CUTLL1 (T-cell lymphoblastic lymphoma 1)	CUTLL1__T-cell_lymphoblastic_lymphoma_1_	CVCL_4966	Homo sapiens				cell line	CL:0000010	CVCL_4966		NULL
386	H3396 (breast carcinoma)	H3396__breast_carcinoma_	CVCL_D349	Homo sapiens				cell line	CL:0000010	CVCL_D349		NULL
460	primary erythroblasts	primary_erythroblasts		Homo sapiens				hematopoietic system	UBERON:0002390	CL:0000765		NULL
604	metastatic prostate cancer tissue	metastatic_prostate_cancer_tissue		Homo sapiens		EFO:0000196		cancer	EFO:0000311	BTO:0001130		NULL
648	NB4 (acute promyelocytic leukemia )	NB4__acute_promyelocytic_leukemia__	CVCL_0005	Homo sapiens		EFO:0002798		cell line	CL:0000010	CVCL_0005		NULL
69	acute promyelocytic leukemia blasts	acute_promyelocytic_leukemia_blasts		Homo sapiens		EFO:0000224		cancer	EFO:0000311	BTO:0004585	BTO:0004585	NULL
851	UPR9 (hematopoietic stem cells)	UPR9__hematopoietic_stem_cells_		Homo sapiens				cell line	CL:0000010			NULL
366	GM19193 (female B-cells Lymphoblastoid Cell Lines)	GM19193__female_B-cells_Lymphoblastoid_Cell_Lines_	CVCL_E126	Homo sapiens	CLO:0027332	EFO:0005351		cell line	CL:0000010	CVCL_E126		NULL
362	GM18505 (female B-cells Lymphoblastoid Cell Lines)	GM18505__female_B-cells_Lymphoblastoid_Cell_Lines_	CVCL_N803	Homo sapiens	CLO:0024913	EFO:0005332		cell line	CL:0000010	CVCL_N803		NULL
365	GM19099 (female B-cells Lymphoblastoid Cell Lines)	GM19099__female_B-cells_Lymphoblastoid_Cell_Lines_	CVCL_E125	Homo sapiens	CLO:0025875	EFO:0005350		cell line	CL:0000010	CVCL_E125		NULL
361	GM15510 (B-cells)	GM15510__B-cells_	CVCL_N802	Homo sapiens	CLO:0028068	EFO:0005347		cell line	CL:0000010	CVCL_N802		NULL
358	GM12892 (female B-cells lymphoblastoid cell line)	GM12892__female_B-cells_lymphoblastoid_cell_line_	CVCL_9631	Homo sapiens	CLO:0022856	EFO:0002786		cell line	CL:0000010	CVCL_9631		NULL
364	GM18951 (B-cells Lymphoblastoid Cell Lines)	GM18951__B-cells_Lymphoblastoid_Cell_Lines_	CVCL_N804	Homo sapiens	CLO:0026303	EFO:0005349		cell line	CL:0000010	CVCL_N804		NULL
363	GM18526 (B – cells Lymphoblastoid Cell Lines)	GM18526__B_–_cells_Lymphoblastoid_Cell_Lines_	CVCL_E124	Homo sapiens	CLO:0024847	EFO:0005348		cell line	CL:0000010	CVCL_E124		NULL
357	GM12891 (male B- cells lymphoblastoid cell line)	GM12891__male_B-_cells_lymphoblastoid_cell_line_	CVCL_9630	Homo sapiens	CLO:0022859	EFO:0002785		cell line	CL:0000010	CVCL_9630		NULL
566	lymphoblastoid cells	lymphoblastoid_cells		Homo sapiens				immune system	UBERON:0002405	BTO:0000772		NULL
404	hASC (preadipocytes)	hASC__preadipocytes_		Homo sapiens				adipose tissue	UBERON:0001013	CL:0002334		NULL
89	BGO3 (embryonic stem cells)	BGO3__embryonic_stem_cells_		Homo sapiens				cell line	CL:0000010			NULL
145	Caco-2 (colon adenocarcinoma)	Caco-2__colon_adenocarcinoma_	CVCL_0025	Homo sapiens		EFO:0001099		cell line	CL:0000010	CVCL_0025	BTO:0000195	NULL
504	Ishikawa (endometrial adenocarcinoma)	Ishikawa__endometrial_adenocarcinoma_	CVCL_2529	Homo sapiens		EFO:0005718		cell line	CL:0000010		BTO:0003041	NULL
239	ECC-1 (endometrial adenocarcinoma)	ECC-1__endometrial_adenocarcinoma_	CVCL_7260	Homo sapiens	CLO:0037231	EFO:0005231		cell line	CL:0000010	CVCL_7260	BTO:0005365	NULL
879	liver	liver		Homo sapiens			UBERON:0002107	liver	UBERON:0002107	UBERON:0002107	BTO:0000759	NULL
792	Simpson Golabi Behmel Syndrome adipocytes	Simpson_Golabi_Behmel_Syndrome_adipocytes		Homo sapiens				adipose tissue	UBERON:0001013	BTO:0000443		NULL
166	CD34+ hematopoietic stem cells	CD34+_hematopoietic_stem_cells		Homo sapiens				stem cell	CL:0000034	CL:0000037		NULL
168	CD36+ erythroid cells	CD36+_erythroid_cells		Homo sapiens				stem cell	CL:0000034	CL:0000764		NULL
459	hematopoietic stem cells and progenitors	hematopoietic_stem_cells_and_progenitors		Homo sapiens				stem cell	CL:0000034	CL:0000037		NULL
65	U937 (adult acute monocytic leukemia)	U937__adult_acute_monocytic_leukemia_	CVCL_0007	Homo sapiens	CLO:0009466	EFO:0001257		cell line	CL:0000010	CVCL_0007	BTO:0001412	NULL
767	Raji (Burkitt lymphoma)	Raji__Burkitt_lymphoma_	CVCL_0511	Homo sapiens	CLO:0008734	EFO:0002324		cell line	CL:0000010	CVCL_0511	BTO:0001154	NULL
144	CA-46 (Burkitt lymphoma)	CA-46__Burkitt_lymphoma_	CVCL_1101	Homo sapiens				cell line	CL:0000010	CVCL_1101	BTO:0000789	NULL
100	Blue1 (sporadic Burkitt lymphoma)	Blue1__sporadic_Burkitt_lymphoma_	CVCL_1967	Homo sapiens				cell line	CL:0000010	CVCL_1967		NULL
768	Ramos (Burkitt lymphoma)	Ramos__Burkitt_lymphoma_	CVCL_0597	Homo sapiens		EFO:0002077		cell line	CL:0000010	CVCL_0597	BTO:0003076	NULL
297	FB8470 (fibroblasts)	FB8470__fibroblasts_		Homo sapiens				cell line	CL:0000010			NULL
296	FB0167P (progeria fibroblasts)	FB0167P__progeria_fibroblasts_		Homo sapiens				cell line	CL:0000010			NULL
391	D54 (H54, Human glioblastoma)	D54__H54__Human_glioblastoma_	CVCL_7185	Homo sapiens		EFO:0002782		cell line	CL:0000010	CVCL_7185		NULL
712	PANC1 (pancreatic ductal adenocarcinoma)	PANC1__pancreatic_ductal_adenocarcinoma_	CVCL_0480	Homo sapiens		EFO:0002713		cell line	CL:0000010	CVCL_0480		NULL
353	GM12873 (female B-cells)	GM12873__female_B-cells_	CVCL_9627	Homo sapiens	CLO:0022835	EFO:0001160		cell line	CL:0000010	CVCL_9627		NULL
665	SK-N-SH (neuroblastoma)	SK-N-SH__neuroblastoma_	CVCL_0531	Homo sapiens	CLO:0009059	EFO:0003072		cell line	CL:0000010	CVCL_0531	BTO:0001620	NULL
408	HBMEC (human brain microvascular endothelial cells)	HBMEC__human_brain_microvascular_endothelial_cells_		Homo sapiens	CL:2000044			brain	UBERON:0000955	CL:2000044	BTO:0003129	NULL
354	GM12874 (male B-cells)	GM12874__male_B-cells_	CVCL_9628	Homo sapiens	CLO:0022838	EFO:0001161		cell line	CL:0000010	CVCL_9628		NULL
583	MCF10A (breast epithelial cells)	MCF10A__breast_epithelial_cells_	CVCL_0599	Homo sapiens		EFO:0001200		cell line	CL:0000010	CVCL_0599	BTO:0001939	NULL
244	NT2-D1 (embryonic carcinoma)	NT2-D1__embryonic_carcinoma_	CVCL_3407	Homo sapiens	CLO:0008207	EFO:0005236		cell line	CL:0000010	CVCL_3407	BTO:0000946	NULL
1146	epithelial cell of proximal tubule	epithelial_cell_of_proximal_tubule		Homo sapiens	CL:0002306			kidney	UBERON:0002113	CL:0002306		NULL
863	WERI-Rb-1 (retinoblastoma)	WERI-Rb-1__retinoblastoma_	CVCL_1792	Homo sapiens	CLO:0009584	EFO:0005715		cell line	CL:0000010	CVCL_1792	BTO:0001178	NULL
420	esophageal epithelial cells	esophageal_epithelial_cells		Homo sapiens	CL:0002252			esophagus	UBERON:0001043	CL:0002252		NULL
114	bronchial epithelial cells	bronchial_epithelial_cells		Homo sapiens	CL:0002328			lung	UBERON:0002048	CL:0002328	BTO:0002922	NULL
441	HMF (human mammary fibroblasts)	HMF__human_mammary_fibroblasts_		Homo sapiens				breast	UBERON:0000310	CL:0000057		NULL
733	PFSK1 (primitive neuroectodermal tumor)	PFSK1__primitive_neuroectodermal_tumor_	CVCL_1642	Homo sapiens		EFO:0005234		cell line	CL:0000010	CVCL_1642		NULL
414	HCFaa (cardiac fibroblasts - adult atrial)	HCFaa__cardiac_fibroblasts_-_adult_atrial_		Homo sapiens	CL:0002548			heart	UBERON:0000948	CL:0002548		NULL
1141	BE2C	BE2C		Homo sapiens		EFO:0005725		cell line	CL:0000010			NULL
55	AG04450 (fibroblasts)	AG04450__fibroblasts_	CVCL_F486	Homo sapiens	CLO:0034832	EFO:0006270		cell line	CL:0000010	CVCL_F486		NULL
344	GM12864 (male B-cells)	GM12864__male_B-cells_	CVCL_L256	Homo sapiens	CLO:0022833	EFO:0005337		cell line	CL:0000010	CVCL_L256		NULL
434	HFF-Myc (fetal fibroblasts)	HFF-Myc__fetal_fibroblasts_	CVCL_Y511	Homo sapiens		EFO:0005710		cell line	CL:0000010	CVCL_Y511		NULL
56	AG09309 (fibroblasts)	AG09309__fibroblasts_	CVCL_L242	Homo sapiens	CLO:0021752			cell line	CL:0000010	CVCL_L242		NULL
289	SK-N-MC (Askin tumor)	SK-N-MC__Askin_tumor_	CVCL_0530	Homo sapiens	CLO:0009058	EFO:0002860		cell line	CL:0000010	CVCL_0530	BTO:0002914	NULL
54	AG04449 (fibroblasts)	AG04449__fibroblasts_	CVCL_F485	Homo sapiens	CLO:0034837			cell line	CL:0000010	CVCL_F485		NULL
57	AG09319 (fibroblasts)	AG09319__fibroblasts_	CVCL_L243	Homo sapiens	CLO:0021754			cell line	CL:0000010	CVCL_L243		NULL
345	GM12865 (female B-cells)	GM12865__female_B-cells_	CVCL_L257	Homo sapiens	CLO:0022834	EFO:0005338		cell line	CL:0000010	CVCL_L257		NULL
893	erythroblasts	erythroblasts		Homo sapiens	CL:0000765			hematopoietic system	UBERON:0002390	CL:0000765		NULL
58	AG10803 (fibroblasts)	AG10803__fibroblasts_	CVCL_L244	Homo sapiens	CLO:0021511			cell line	CL:0000010	CVCL_L244		NULL
336	GM08714 (female B-cells)	GM08714__female_B-cells_	CVCL_E128	Homo sapiens	CLO:0010422	EFO:0005333		cell line	CL:0000010	CVCL_E128		NULL
955	primary foreskin fibroblasts	primary_foreskin_fibroblasts		Homo sapiens	CL:1001608			skin	UBERON:0002199	CL:1001608	BTO:0000452	NULL
1160	HRE (Human Renal Epithelial cells)	HRE__Human_Renal_Epithelial_cells_		Homo sapiens	CL:0002518			kidney	UBERON:0002113	CL:0002518		NULL
473	human villous mesenchymal fibroblast cells	human_villous_mesenchymal_fibroblast_cells		Homo sapiens	CL:0002558			embryonic cell	CL:0002321	CL:0002558		NULL
1152	fibroblast of pulmonary artery	fibroblast_of_pulmonary_artery		Homo sapiens	CL:0002557			vascular system	UBERON:0007798	CL:0002557		NULL
67	aortic adventitial fibroblasts	aortic_adventitial_fibroblasts		Homo sapiens	CL:0002547			heart	UBERON:0000948	CL:0002547	BTO:0005640	NULL
416	HCPEpiC (choroid plexus epithelial cells)	HCPEpiC__choroid_plexus_epithelial_cells_		Homo sapiens	CL:0000706		UBERON:0003911	vascular system	UBERON:0007798	CL:0000706		NULL
399	astrocytes of cerebellum	astrocytes_of_cerebellum		Homo sapiens	CL:0002603			cerebellum	UBERON:0002037	CL:0002603		NULL
